external_gene_name	Y	A	CtrlUn	KUnInj	CtrlInj	KInj	N	KN
A1bg	115.103	97.8013	103.017	86.0836	119.21	197.231	45.1019	87.7807
A1cf	156.939	194.281	159.571	161.947	221.754	225.562	211.979	100.082
A2m	192.233	194.281	333.779	290.632	302.353	208.736	198.448	299.546
A2ml1	70.1519	79.2984	92.3617	60.3015	73.4236	89.6247	90.2037	94.5361
A3galt2	253.172	60.7954	71.7737	56.4988	80.3924	139.956	166.877	137.428
A4galt	93.5359	47.579	56.2845	21.9567	36.6288	154.997	126.285	37.6987
A4gnt	57.6487	52.8656	38.0221	26.4046	40.2584	89.3166	40.5917	28.6182
Aaas	139.034	47.579	52.6397	37.6546	32.8331	129.384	117.265	61.1546
Aacs	411.235	494.293	179.745	159.458	108.362	132.467	139.816	395.255
Aadac	86.0563	55.5089	76.0395	65.9943	80.8905	95.0547	36.0815	51.632
Aadacl2	77.2904	108.374	118.674	116.789	145.074	144.179	189.428	81.444
Aadacl3	40.4439	26.4328	76.7039	37.0095	36.7118	113.681	58.6324	20.27
Aadacl4	59.9272	29.0761	34.1174	15.7543	18.4804	116.894	31.5713	9.5459
Aadat	745.417	1502.7	1052.45	1263.76	1252.66	490.973	653.977	970.185
Aaed1	64.8517	42.2925	66.6603	50.8738	58.6559	110.763	45.1019	77.4207
Aagab	915.248	601.346	487.832	570.556	367.409	327.041	320.223	794.875
Aak1	1645.47	728.224	443.68	546.913	427.547	273.396	315.713	898.166
Aamdc	88.3298	42.2925	58.5186	53.9072	69.7108	159.358	49.6121	56.8256
Aamp	231.209	85.9066	99.1118	86.0496	56.9655	166.012	130.795	81.7809
Aanat	500.968	249.79	184.044	85.3482	95.2019	232.136	306.693	292.786
Aar2	184.239	75.3335	57.5412	45.8825	64.1004	107.946	126.285	65.9607
Aard	206.385	294.726	346.389	372.969	367.159	199.146	202.958	314.32
Aars	841.703	679.323	329.56	307.642	172.67	153.606	175.897	438.508
Aars2	1591.58	536.586	413.082	363.269	313.865	418.904	351.795	565.581
Aarsd1	68.5297	19.8246	42.8658	13.7852	27.4301	99.3298	27.0611	20.2388
Aasdh	512.085	284.153	271.625	286.32	310.111	498.06	473.57	207.784
Aasdhppt	90.565	92.5148	88.4134	76.7687	55.1506	88.9764	99.2241	39.3033
Aass	99.9113	97.8013	78.9765	76.0446	146.847	110.962	139.816	46.9
Aatf	153.269	121.591	143.562	169.043	123.462	206.676	261.591	221.706
Aatk	202.108	79.2984	80.5654	70.3856	114.097	193.561	220.999	251.823
Abat	1007.47	337.018	156.017	142.017	95.6581	123.522	135.306	190.7
Abca1	93.4204	85.9066	124.833	80.3907	119.21	106.647	36.0815	95.3539
Abca12	479.302	457.287	591.257	576.6	636.638	518.32	396.896	432.195
Abca13	160.275	148.024	166.066	178.584	249.391	172.471	207.469	147.8
Abca14	306.005	414.995	802.673	777.503	921.548	371.66	518.671	954.503
Abca15	293.586	340.983	272.029	264.476	342.902	219.795	293.162	378.113
Abca16	83.9674	66.082	63.6656	33.9197	45.9105	130.887	153.346	39.7376
Abca17	129.947	54.1872	77.3058	47.0485	58.8218	245.14	180.407	51.6125
Abca2	1395.9	412.352	247.715	246.141	204.228	216.949	252.57	385.663
Abca3	1164.51	441.428	408.099	385.464	290.355	318.459	428.468	723.191
Abca4	440.488	1108.86	488.135	404.647	517.594	439.907	279.632	414.018
Abca5	358.966	679.323	601.571	536.274	605.205	487.242	581.814	674.573
Abca6	166.731	126.877	98.8086	33.9648	165.411	283.505	220.999	69.0958
Abca7	1333.9	659.498	507.943	532.529	390.627	435.966	441.998	854.167
Abca8a	106.349	118.948	80.9457	45.8487	121.191	194.234	157.857	61.1857
Abca8b	298.112	194.281	158.189	171.488	139.796	180.819	175.897	173.643
Abca9	134.526	150.667	256.786	277.129	219.69	236.31	351.795	372.191
