external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Xkr4	324	65	275	254	572	358	248	105
Sox17	59	15	43	24	41	25	13	43
Mrpl15	281	45	139	113	253	174	53	51
Lypla1	345	36	75	39	128	53	34	101
Tcea1	137	43	54	42	73	36	13	4
Tcea1	527	70	153	103	157	96	63	62
Rgs20	133	21	58	57	96	71	20	70
Rgs20	188	17	59	98	164	92	36	75
Rgs20	38	10	19	24	22	22	9	26
Atp6v1h	124	14	42	26	86	61	35	46
Oprk1	44	13	40	31	26	22	8	3
Npbwr1	26	12	26	24	17	12	7	5
Rb1cc1	461	69	189	105	245	145	95	108
Alkal1	143	18	30	18	20	6	8	2
St18	46	15	28	16	15	19	10	46
St18	126	109	262	271	383	229	33	24
Pcmtd1	735	224	484	395	806	476	222	261
Sntg1	89	24	69	92	257	155	88	96
Rrs1	269	16	46	31	44	31	12	14
Adhfe1	48	15	15	25	26	22	18	13
Vxn	36	22	29	19	57	31	23	26
Mybl1	670	56	159	81	104	73	29	23
Vcpip1	199	33	75	41	117	75	39	46
Sgk3	256	21	48	21	80	39	36	52
Sgk3	75	11	34	24	44	25	17	16
Mcmdc2	50	20	23	18	33	25	12	6
Ppp1r42	195	31	44	13	42	23	13	22
Cspp1	734	71	190	118	266	177	107	146
Cops5	320	32	60	59	105	49	25	24
Arfgef1	942	70	283	191	316	182	112	73
Cpa6	79	19	27	30	45	35	12	31
Prex2	174	19	33	20	38	31	16	47
Sulf1	260	32	56	35	51	41	20	21
Sulf1	246	24	42	37	35	19	14	28
Slco5a1	530	80	283	274	588	383	158	33
Prdm14	45	11	40	22	25	10	8	7
Ncoa2	1315	287	725	449	722	398	150	144
Ncoa2	682	84	184	140	264	146	74	61
Tram1	233	34	95	50	77	46	26	16
Lactb2	262	24	42	25	31	33	14	61
Xkr9	23	14	22	15	22	13	13	4
Eya1	308	62	73	39	78	50	20	19
Msc	62	9	36	26	35	27	12	18
Trpa1	49	8	22	14	23	19	14	3
Kcnb2	309	31	135	147	406	244	136	63
Terf1	425	60	110	84	215	177	46	62
Sbspon	152	16	33	20	29	28	7	4
Rpl7	576	153	284	222	436	298	116	159
Rdh10	286	34	103	59	98	56	32	47
Stau2	761	58	236	193	480	294	200	68
Tmem70	176	30	57	25	80	51	17	36
Ly96	233	48	72	42	78	48	29	45
Jph1	163	26	57	34	59	39	22	47
Gdap1	23	20	19	25	54	30	22	29
Pi15	39	15	26	22	25	14	17	6
Crispld1	262	37	54	29	45	13	6	15
Crisp4	23	8	18	23	27	26	6	0
Defb18	22	5	7	11	12	5	8	0
Defb41	13	7	8	9	11	0	3	1
Tfap2d	10	17	21	19	64	61	21	4
Tfap2b	108	13	20	11	18	8	8	0
Tfap2b	270	34	78	14	38	35	15	7
Pkhd1	40	15	27	27	21	12	6	2
Il17a	27	17	25	16	25	14	5	1
Il17f	39	17	26	14	22	11	7	2
Mcm3	165	20	24	18	22	29	9	5
Efhc1	364	51	111	75	111	78	64	52
Tram2	541	62	121	76	122	93	46	49
Tmem14a	125	22	34	32	43	51	14	56
Gsta3	48	15	22	24	26	25	5	5
Khdc1a	25	6	12	18	6	4	2	1
Khdc1c	17	3	15	14	16	8	2	1
Khdc1b	16	5	13	11	13	8	6	1
