external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Xkr4	1357	573	1020	908	1425	1285	701	403
Sox17	150	60	112	69	68	52	24	34
Mrpl15	1172	434	750	728	937	850	383	275
Lypla1	873	377	683	521	791	630	367	296
Tcea1	247	85	102	120	142	67	52	19
Tcea1	1270	605	1156	941	1071	934	388	240
Rgs20	1159	358	863	919	1115	957	435	358
Rgs20	1132	382	604	571	758	597	278	151
Rgs20	17	12	23	27	20	11	5	13
Atp6v1h	303	132	206	228	373	349	185	172
Oprk1	245	78	152	139	163	134	55	40
Npbwr1	348	88	244	225	268	232	114	36
Rb1cc1	1586	728	1242	1127	1436	1275	620	390
Alkal1	691	233	389	345	317	236	86	18
St18	17	12	21	19	14	11	3	3
St18	84	46	106	113	114	111	35	11
Pcmtd1	977	355	647	548	865	729	370	420
Sntg1	753	263	526	547	889	731	365	236
Rrs1	951	364	501	445	490	431	193	120
Adhfe1	533	115	188	165	138	90	38	23
Vxn	64	21	36	63	98	89	58	63
Mybl1	1895	701	1453	1206	1635	1371	653	206
Vcpip1	500	194	263	273	312	259	131	187
Sgk3	1000	453	833	618	830	654	350	127
Sgk3	525	143	351	200	274	300	177	64
Mcmdc2	165	57	78	110	134	122	46	28
Ppp1r42	382	108	221	177	198	211	103	69
Cspp1	1889	880	1431	1395	1629	1407	649	660
Cops5	1403	565	912	915	1035	775	318	142
Arfgef1	2133	893	1792	1238	1719	1390	672	251
Cpa6	17	8	23	16	12	16	14	10
Prex2	306	101	215	173	202	169	106	61
Sulf1	501	107	193	119	136	121	80	57
Sulf1	210	40	73	74	67	60	25	25
Slco5a1	1287	469	909	889	1277	1094	443	239
Prdm14	80	26	66	42	40	29	13	9
Ncoa2	2028	958	1609	1285	1753	1368	732	355
Ncoa2	1834	783	1268	1124	1456	1163	500	227
Tram1	356	96	202	130	173	172	89	56
Lactb2	684	259	522	437	654	568	207	236
Xkr9	12	10	17	17	14	11	6	1
Eya1	342	124	187	207	268	242	109	47
Msc	485	164	282	298	407	367	185	123
Trpa1	302	84	134	159	118	111	36	20
Kcnb2	1224	482	1048	828	1291	1053	500	155
Terf1	316	168	237	211	341	273	149	136
Sbspon	815	262	473	373	481	376	175	25
Rpl7	604	243	419	386	629	511	189	254
Rdh10	1281	497	1046	842	1094	820	381	158
Stau2	1329	461	919	675	1000	777	385	221
Tmem70	274	134	191	176	288	236	124	121
Ly96	395	117	239	208	260	248	107	80
Jph1	409	120	291	235	411	335	147	116
Gdap1	190	101	116	136	199	166	81	86
Pi15	11	5	23	17	10	10	11	3
Crispld1	357	86	189	163	232	205	82	80
Crisp4	8	6	16	11	23	2	10	1
Defb18	5	1	10	8	9	2	4	0
Defb41	4	7	5	9	10	0	3	2
Tfap2d	14	9	49	29	48	38	16	2
Tfap2b	86	12	20	20	20	5	13	2
Tfap2b	318	53	93	53	46	42	20	10
Pkhd1	14	14	20	15	11	9	7	1
Il17a	9	13	21	26	13	7	10	1
Il17f	17	10	20	10	20	9	9	2
Mcm3	251	105	159	133	195	174	71	61
Efhc1	346	118	211	266	481	414	157	168
Tram2	860	313	681	575	1040	919	445	225
Tmem14a	222	93	169	134	238	199	95	83
Gsta3	15	13	25	19	9	11	9	0
Khdc1a	7	5	18	9	9	7	0	0
Khdc1c	10	3	11	14	13	3	4	1
Khdc1b	12	5	17	9	14	3	8	0
Kcnq5	706	238	478	456	656	608	337	298
Kcnq5	32	9	22	34	26	19	15	55
Rims1	1124	451	932	812	1225	1117	537	314
Ppp1r14bl	21	5	24	18	15	12	6	4
Ogfrl1	428	223	383	342	525	440	236	50
