external_gene_name	E11	E12	E13	E14	E15	E16	E18	P0	CtrlUnInj
A1BG	0.005	0.0	0.0	0.015	0.0	0.0	0.0	0.01	0.0
A1CF	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.015
A2M	1.255	2.67	1.7850000000000001	1.795	4.27	3.1799999999999997	5.555	5.845000000000001	1.555
A2ML1	0.0	0.0	0.095	0.215	0.33999999999999997	0.395	0.33999999999999997	1.29	1.8199999999999998
A3GALT2	0.065	0.44	0.395	0.645	0.275	0.44	0.35	0.085	0.07
A4GALT	0.305	1.055	0.975	1.255	1.195	1.29	1.82	3.0650000000000004	0.89
A4GNT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.18
AV064505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AV320801	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.005	0.04
AW112010	0.0	0.215	0.075	0.03	0.225	0.065	0.16999999999999998	0.265	3.9749999999999996
AW146154	1.835	2.9050000000000002	2.41	2.09	2.09	1.645	2.065	1.5150000000000001	3.0949999999999998
AW551984	2.245	13.245000000000001	19.875	21.665	50.33	37.89	44.58	61.68000000000001	6.475
AAAS	66.94	78.485	57.685	49.375	36.67	34.265	34.43	26.395000000000003	4.82
AACS	31.835	44.055	47.35	44.879999999999995	51.394999999999996	66.785	68.975	76.89	10.23
AADAC	0.0	0.0	0.0	0.195	0.0	0.095	0.0	0.0	0.04
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	0.8500000000000001	1.495	0.7150000000000001	0.455	0.525	0.52	0.55	0.835	0.175
AAGAB	37.095	48.025000000000006	50.015	48.730000000000004	59.62	55.31	63.64	54.425	23.900000000000002
AAK1	3.7800000000000002	10.325	13.93	11.73	13.725000000000001	16.39	16.41	12.905	80.28
AAMDC	15.715	24.35	26.634999999999998	35.325	49.96	42.239999999999995	43.265	48.129999999999995	29.58
AAMP	133.645	154.775	154.48000000000002	168.94	192.875	176.28500000000003	188.335	181.13	57.17
AANAT	0.01	0.05	0.1	0.265	0.175	0.1	0.14	0.76	0.045
AAR2	28.46	37.895	36.555	34.995	42.894999999999996	36.739999999999995	40.54	34.205	13.31
AARD	2.165	3.715	2.16	1.345	2.175	2.795	2.5650000000000004	4.73	3.1550000000000002
AARS	49.46	68.85	70.93	55.61	53.584999999999994	57.885	58.62	60.75	25.745
AARS2	17.9	18.66	19.655	14.445	9.705	13.77	13.06	9.399999999999999	6.215
AARSD1	61.21	84.13	79.85	89.36	76.975	78.34	77.82	81.71000000000001	26.855
AASDH	13.275	19.655	17.375	18.445	15.09	21.08	18.38	8.445	12.260000000000002
AASDHPPT	16.700000000000003	25.44	26.585	28.225	30.005000000000003	28.895	33.510000000000005	25.475	30.715
AASS	1.71	2.385	1.2850000000000001	0.845	0.7	0.435	0.585	0.395	3.39
AATF	34.97	43.58	48.69	44.2	38.685	45.349999999999994	43.59	31.865000000000002	8.2
AATK	0.875	2.5149999999999997	5.6850000000000005	6.369999999999999	12.32	18.42	16.97	25.130000000000003	53.65
ABAT	8.93	17.77	36.075	37.275000000000006	29.775	40.79	35.695	52.43000000000001	94.89
ABCA1	1.305	4.18	5.5649999999999995	5.3149999999999995	9.23	8.370000000000001	10.205	4.295	7.165
ABCA12	0.005	0.0	0.01	0.005	0.01	0.03	0.025	0.025	0.08
ABCA13	0.01	0.01	0.025	0.06999999999999999	0.025	0.015	0.035	0.035	0.02
ABCA14	0.01	0.0	0.0	0.0	0.005	0.01	0.0	0.08	0.065
ABCA15	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
ABCA16	0.005	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0
ABCA17	0.005	0.025	0.015	0.03	0.035	0.030000000000000002	0.065	0.1	0.135
ABCA2	4.885	8.105	9.715	5.890000000000001	7.935	10.719999999999999	10.36	8.280000000000001	37.33
ABCA3	4.835	10.42	14.22	12.065000000000001	14.97	17.28	18.655	15.934999999999999	14.305
ABCA4	1.1549999999999998	1.8450000000000002	1.02	0.795	0.94	1.085	1.02	0.9099999999999999	1.42
ABCA5	1.465	2.385	3.295	4.305	8.815	5.355	7.51	6.515000000000001	18.9
ABCA6	0.045	0.28500000000000003	0.115	0.045	0.155	0.25	0.18	0.55	1.21
ABCA7	1.645	2.91	4.855	2.925	2.22	3.205	2.9850000000000003	0.94	2.87
ABCA8A	0.005	0.005	0.005	0.255	1.335	1.53	2.48	1.2349999999999999	3.9
ABCA8B	0.14	0.5349999999999999	0.56	0.605	1.24	0.74	1.24	0.565	6.4350000000000005
ABCA9	1.3050000000000002	2.8049999999999997	2.495	1.19	3.125	1.83	3.545	1.745	2.965
ABCB10	11.504999999999999	19.314999999999998	13.870000000000001	7.4	9.595	8.885	9.25	8.005	8.165
ABCB11	0.0	0.0	0.025	0.02	0.02	0.01	0.0	0.06	0.02
ABCB1A	0.125	0.39	0.675	0.665	1.35	0.9849999999999999	1.595	1.76	10.715
ABCB1B	0.255	0.35	0.19	0.22999999999999998	0.185	0.22999999999999998	0.16999999999999998	0.25	1.355
ABCB4	0.16	0.495	0.71	0.355	0.19	0.315	0.23	0.32999999999999996	1.4100000000000001
ABCB5	0.01	0.0	0.015	0.005	0.08	0.0	0.08	0.015	0.0
ABCB6	23.7	22.86	27.705	25.19	23.915	36.504999999999995	31.65	41.68000000000001	7.550000000000001
ABCB7	7.62	14.790000000000001	13.505	9.13	9.745000000000001	7.785	9.885000000000002	2.62	25.995
ABCB8	30.455	39.730000000000004	37.370000000000005	36.125	32.269999999999996	39.675	37.230000000000004	35.4	13.145
ABCB9	0.325	1.26	2.51	4.745	5.545	8.46	7.664999999999999	14.2	11.86
ABCC1	5.16	6.95	6.9350000000000005	6.475	4.105	7.455	6.619999999999999	4.225	3.0949999999999998
ABCC10	3.24	6.135	6.705	5.26	4.62	6.0649999999999995	5.859999999999999	3.685	1.77
ABCC12	0.02	0.08499999999999999	0.125	0.16	0.22000000000000003	0.16999999999999998	0.27	0.395	0.185
ABCC2	0.034999999999999996	0.0	0.07	0.02	0.01	0.04	0.01	0.02	0.06999999999999999
ABCC3	0.095	0.42500000000000004	0.355	0.35	0.835	0.515	0.955	0.8	0.5700000000000001
ABCC4	1.65	2.875	1.775	0.8200000000000001	0.96	0.865	1.02	1.275	2.205
ABCC5	33.120000000000005	56.855000000000004	95.53	98.08500000000001	103.305	134.44	131.70499999999998	65.005	79.9
ABCC6	0.11499999999999999	0.14	0.12	0.125	0.265	0.22	0.33	0.195	0.43
ABCC8	0.265	0.24	0.72	3.3249999999999997	6.15	11.280000000000001	10.795	2.59	4.165
ABCC9	0.42500000000000004	1.2000000000000002	1.62	1.355	1.9649999999999999	2.3200000000000003	2.235	1.185	1.8849999999999998
ABCD1	5.234999999999999	7.77	8.075	8.0	6.925	9.56	8.67	6.04	3.475
ABCD2	6.895	15.739999999999998	18.659999999999997	18.685000000000002	12.27	13.855	12.844999999999999	3.06	18.58
ABCD3	22.25	44.15	50.86	45.38	56.61	52.155	60.650000000000006	48.705	43.4
ABCD4	4.625	6.98	8.215	8.295	4.3999999999999995	7.37	5.865	3.715	3.88
ABCE1	81.815	112.715	95.935	71.965	56.51	68.00999999999999	74.075	55.315	64.03
ABCF1	64.445	88.06	94.265	92.07499999999999	53.370000000000005	71.1	69.065	78.32	29.185
ABCF2	106.06	125.92999999999999	116.905	100.38	94.06	85.61500000000001	93.94	65.46000000000001	38.72
ABCF3	29.435	41.13	54.715	58.515	52.705	57.75	57.629999999999995	48.495	24.755
ABCG1	5.9399999999999995	12.879999999999999	19.75	23.020000000000003	23.27	24.93	25.21	15.325	17.185
ABCG2	25.175	30.865000000000002	22.41	23.310000000000002	25.21	20.509999999999998	25.805	18.705	15.695
ABCG3	0.14	0.215	0.22999999999999998	0.245	0.48000000000000004	0.18	0.47000000000000003	0.20500000000000002	0.33499999999999996
ABCG4	3.395	6.470000000000001	9.27	8.385	6.42	12.34	10.625	15.18	15.605
ABCG5	2.895	4.385	2.9050000000000002	3.475	3.21	2.085	1.965	0.885	0.065
ABCG8	0.155	0.26	0.095	0.19	0.045	0.175	0.04	0.11000000000000001	0.015
ABHD1	0.79	1.3050000000000002	1.6099999999999999	1.46	2.365	2.36	2.1	1.0899999999999999	1.375
ABHD10	22.285	29.515	35.53	38.894999999999996	32.87	33.985	33.995	24.45	16.38
ABHD11	21.775	29.735	34.47	40.235	55.63	56.515	57.47	72.965	15.665
ABHD11OS	1.0	1.405	1.225	0.6	0.885	1.04	0.81	1.38	2.76
ABHD12	25.915	44.900000000000006	48.870000000000005	60.3	81.22	81.78999999999999	89.75	128.005	238.355
ABHD12B	0.0	0.015	0.0	0.02	0.11499999999999999	0.005	0.07500000000000001	0.09	2.715
ABHD13	8.19	17.3	17.415	11.915	16.08	13.385	15.925	11.04	19.395
ABHD14A	22.895	31.695	32.010000000000005	38.275000000000006	47.705	55.67	56.86	73.46000000000001	18.994999999999997
ABHD14B	3.325	4.515000000000001	4.265	3.3899999999999997	5.645	6.095000000000001	5.800000000000001	7.995	11.51
ABHD15	2.77	2.625	3.5700000000000003	2.8449999999999998	1.2850000000000001	1.775	1.365	1.06	0.415
ABHD16A	28.43	42.230000000000004	53.575	63.34	61.42	78.805	71.75	80.25	39.435
ABHD16B	0.07500000000000001	0.08499999999999999	0.06	0.09	0.015	0.025	0.04	0.0	0.0
ABHD17A	40.06	85.365	71.80000000000001	61.415	103.045	98.66499999999999	89.96000000000001	131.29000000000002	59.565
ABHD17B	14.620000000000001	31.35	32.525	27.665	32.305	29.815	33.09	33.53	36.71
ABHD17C	7.235	56.84	43.125	11.01	17.075000000000003	62.69	23.375	78.58	17.095
ABHD18	3.36	6.91	8.14	11.059999999999999	7.595000000000001	14.49	10.605	7.255	14.75
ABHD2	4.405	10.815000000000001	11.315000000000001	14.215	19.345	19.515	21.445	20.65	19.34
ABHD3	0.46499999999999997	0.72	1.39	1.835	2.445	2.08	2.15	6.455	57.795
ABHD4	22.915	39.96	37.485	39.269999999999996	51.82	40.47	49.394999999999996	54.93	26.88
ABHD5	10.620000000000001	14.56	13.875	14.405	23.259999999999998	17.385	23.39	21.78	20.0
ABHD6	10.46	15.17	16.45	23.0	27.985	27.285	29.365000000000002	27.225	30.049999999999997
ABHD8	35.894999999999996	59.87	80.455	77.49	70.58	114.465	87.185	142.12	86.49
ABI1	20.07	34.305	35.35	38.620000000000005	58.965	47.775000000000006	58.665	58.095	101.095
ABI2	28.634999999999998	49.66	58.24	46.91	46.535	57.715	56.93	91.41	87.08
ABI3	1.885	0.8400000000000001	1.97	1.025	0.645	1.5299999999999998	1.095	1.2149999999999999	1.845
ABI3BP	0.12000000000000001	0.43	0.46499999999999997	0.185	0.19	0.15	0.31	0.505	3.045
ABL1	27.965	43.535	37.86	23.455	17.91	19.555	19.735	10.55	13.225
ABL2	2.675	4.545	5.6899999999999995	5.125	5.785	5.54	6.5600000000000005	3.13	9.49
ABLIM1	11.129999999999999	14.594999999999999	13.86	14.73	24.975	31.060000000000002	35.445	39.69	29.235
ABLIM2	0.14	0.115	1.025	2.295	5.09	7.285	7.13	13.405000000000001	48.0
ABLIM3	0.04	0.37	2.6900000000000004	6.15	18.91	16.619999999999997	21.78	35.94	5.315
ABO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
ABR	14.344999999999999	38.41	62.415	60.715	81.86	92.055	94.375	89.03	110.695
ABRA	0.0	0.09000000000000001	0.0	0.0	0.025	0.045	0.0	0.01	0.155
ABRACL	74.725	129.945	181.43	235.07	192.825	177.835	182.63	83.8	28.585
ABRAXAS1	18.66	28.345	21.62	21.0	10.53	13.515	11.52	7.63	6.365
ABRAXAS2	15.030000000000001	25.45	26.975	30.759999999999998	31.66	28.775	34.260000000000005	20.35	20.54
ABT1	29.935000000000002	36.620000000000005	37.980000000000004	37.834999999999994	39.105000000000004	37.32	38.129999999999995	24.095	10.005
ABTB1	9.485	10.120000000000001	14.95	19.43	21.479999999999997	24.475	24.78	19.955	9.84
ABTB2	6.640000000000001	11.885	12.625	6.335	4.125	6.135	5.824999999999999	5.49	2.45
ACAA1A	40.225	54.900000000000006	61.78	74.97999999999999	78.895	89.725	86.05	71.565	29.495
ACAA1B	0.9299999999999999	0.8300000000000001	1.26	0.97	1.145	1.33	1.1400000000000001	2.065	0.24
ACAA2	41.985	41.86	35.88	46.195	43.974999999999994	44.22	49.545	61.685	13.575
