external_gene_name	E11mean	E12mean	E13mean	E14mean	E15mean	E16mean	E18mean	P0mean	CtrlUnInjmean	YoungFC	AdultFC	UnInjCST_FC	InjCST_FC
A1bg	0.005	0.0	0.0	0.015	0.0	0.0	0.0	0.01	0.0	115.103			103.01700000000001
A1cf	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.015	156.939			159.571
A2m	1.255	2.67	1.7850000000000001	1.795	4.27	3.1799999999999997	5.555	5.845000000000001	1.555	192.233			333.779
A2ml1	0.0	0.0	0.095	0.215	0.33999999999999997	0.395	0.33999999999999997	1.29	1.8199999999999998	70.1519			92.3617
A3galt2	0.065	0.44	0.395	0.645	0.275	0.44	0.35	0.085	0.07	253.172			71.7737
A4galt	0.305	1.055	0.975	1.255	1.195	1.29	1.82	3.0650000000000004	0.89	93.5359			56.2845
A4gnt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.18	57.6487			38.0221
AV064505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0935			62.433
AV320801	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.005	0.04	1.6168799999999999			1.6273799999999998
AW112010	0.0	0.215	0.075	0.03	0.225	0.065	0.16999999999999998	0.265	3.9749999999999996	93.3482			117.697
AW146154	1.835	2.9050000000000002	2.41	2.09	2.09	1.645	2.065	1.5150000000000001	3.0949999999999998	109.18299999999999			72.5295
AW551984	2.245	13.245000000000001	19.875	21.665	50.33	37.89	44.58	61.68000000000001	6.475	114.021			91.0375
Aaas	66.94	78.485	57.685	49.375	36.67	34.265	34.43	26.395000000000003	4.82	139.034			52.6397
Aacs	31.835	44.055	47.35	44.879999999999995	51.394999999999996	66.785	68.975	76.89	10.23	411.235			179.745
Aadac	0.0	0.0	0.0	0.195	0.0	0.095	0.0	0.0	0.04	86.0563			76.0395
Aadacl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.2904			118.67399999999999
Aadacl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.4439			76.7039
Aadacl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.9272			34.1174
Aadat	0.8500000000000001	1.495	0.7150000000000001	0.455	0.525	0.52	0.55	0.835	0.175	745.4169999999999			1052.45
Aagab	37.095	48.025000000000006	50.015	48.730000000000004	59.62	55.31	63.64	54.425	23.900000000000002	915.248			487.832
Aak1	3.7800000000000002	10.325	13.93	11.73	13.725000000000001	16.39	16.41	12.905	80.28	1645.47			443.68
Aamdc	15.715	24.35	26.634999999999998	35.325	49.96	42.239999999999995	43.265	48.129999999999995	29.58	88.3298			58.5186
Aamp	133.645	154.775	154.48000000000002	168.94	192.875	176.28500000000003	188.335	181.13	57.17	231.209			99.1118
Aanat	0.01	0.05	0.1	0.265	0.175	0.1	0.14	0.76	0.045	500.968			184.044
Aar2	28.46	37.895	36.555	34.995	42.894999999999996	36.739999999999995	40.54	34.205	13.31	184.239			57.5412
Aard	2.165	3.715	2.16	1.345	2.175	2.795	2.5650000000000004	4.73	3.1550000000000002	206.385			346.389
Aars	49.46	68.85	70.93	55.61	53.584999999999994	57.885	58.62	60.75	25.745	841.703			329.56
Aars2	17.9	18.66	19.655	14.445	9.705	13.77	13.06	9.399999999999999	6.215	1591.58			413.082
Aarsd1	61.21	84.13	79.85	89.36	76.975	78.34	77.82	81.71000000000001	26.855	68.5297			42.8658
Aasdh	13.275	19.655	17.375	18.445	15.09	21.08	18.38	8.445	12.260000000000002	512.085			271.625
Aasdhppt	16.700000000000003	25.44	26.585	28.225	30.005000000000003	28.895	33.510000000000005	25.475	30.715	90.565			88.4134
Aass	1.71	2.385	1.2850000000000001	0.845	0.7	0.435	0.585	0.395	3.39	99.9113			78.9765
Aatf	34.97	43.58	48.69	44.2	38.685	45.349999999999994	43.59	31.865000000000002	8.2	153.269			143.562
Aatk	0.875	2.5149999999999997	5.6850000000000005	6.369999999999999	12.32	18.42	16.97	25.130000000000003	53.65	202.108			80.5654
Abat	8.93	17.77	36.075	37.275000000000006	29.775	40.79	35.695	52.43000000000001	94.89	1007.47			156.017
Abca1	1.305	4.18	5.5649999999999995	5.3149999999999995	9.23	8.370000000000001	10.205	4.295	7.165	93.4204			124.833
Abca12	0.005	0.0	0.01	0.005	0.01	0.03	0.025	0.025	0.08	479.30199999999996			591.257
Abca13	0.01	0.01	0.025	0.06999999999999999	0.025	0.015	0.035	0.035	0.02	160.275			166.06599999999997
Abca14	0.01	0.0	0.0	0.0	0.005	0.01	0.0	0.08	0.065	306.005			802.673
Abca15	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	293.586			272.029
Abca16	0.005	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	83.9674			63.6656
Abca17	0.005	0.025	0.015	0.03	0.035	0.030000000000000002	0.065	0.1	0.135	129.947			77.3058
Abca2	4.885	8.105	9.715	5.890000000000001	7.935	10.719999999999999	10.36	8.280000000000001	37.33	1395.9			247.715
Abca3	4.835	10.42	14.22	12.065000000000001	14.97	17.28	18.655	15.934999999999999	14.305	1164.51			408.099
Abca4	1.1549999999999998	1.8450000000000002	1.02	0.795	0.94	1.085	1.02	0.9099999999999999	1.42	440.48800000000006			488.135
Abca5	1.465	2.385	3.295	4.305	8.815	5.355	7.51	6.515000000000001	18.9	358.966			601.571
Abca6	0.045	0.28500000000000003	0.115	0.045	0.155	0.25	0.18	0.55	1.21	166.731			98.8086
Abca7	1.645	2.91	4.855	2.925	2.22	3.205	2.9850000000000003	0.94	2.87	1333.9			507.94300000000004
Abca8a	0.005	0.005	0.005	0.255	1.335	1.53	2.48	1.2349999999999999	3.9	106.34899999999999			80.9457
Abca8b	0.14	0.5349999999999999	0.56	0.605	1.24	0.74	1.24	0.565	6.4350000000000005	298.112			158.189
Abca9	1.3050000000000002	2.8049999999999997	2.495	1.19	3.125	1.83	3.545	1.745	2.965	134.526			256.786
Abcb10	11.504999999999999	19.314999999999998	13.870000000000001	7.4	9.595	8.885	9.25	8.005	8.165	69.9735			33.1352
Abcb11	0.0	0.0	0.025	0.02	0.02	0.01	0.0	0.06	0.02	93.2259			50.3817
Abcb1a	0.125	0.39	0.675	0.665	1.35	0.9849999999999999	1.595	1.76	10.715	125.334			235.00799999999998
Abcb1b	0.255	0.35	0.19	0.22999999999999998	0.185	0.22999999999999998	0.16999999999999998	0.25	1.355	496.414			356.14300000000003
Abcb4	0.16	0.495	0.71	0.355	0.19	0.315	0.23	0.32999999999999996	1.4100000000000001	599.8			633.753
Abcb5	0.01	0.0	0.015	0.005	0.08	0.0	0.08	0.015	0.0	154.623			112.12100000000001
Abcb6	23.7	22.86	27.705	25.19	23.915	36.504999999999995	31.65	41.68000000000001	7.550000000000001	1866.51			465.05300000000005
Abcb7	7.62	14.790000000000001	13.505	9.13	9.745000000000001	7.785	9.885000000000002	2.62	25.995	104.921			130.388
Abcb8	30.455	39.730000000000004	37.370000000000005	36.125	32.269999999999996	39.675	37.230000000000004	35.4	13.145	563.882			426.279
Abcb9	0.325	1.26	2.51	4.745	5.545	8.46	7.664999999999999	14.2	11.86	464.45			173.53799999999998
Abcc1	5.16	6.95	6.9350000000000005	6.475	4.105	7.455	6.619999999999999	4.225	3.0949999999999998	932.927			695.117
Abcc10	3.24	6.135	6.705	5.26	4.62	6.0649999999999995	5.859999999999999	3.685	1.77	334.619			114.712
Abcc12	0.02	0.08499999999999999	0.125	0.16	0.22000000000000003	0.16999999999999998	0.27	0.395	0.185	353.722			223.93
Abcc2	0.034999999999999996	0.0	0.07	0.02	0.01	0.04	0.01	0.02	0.06999999999999999	34.9572			50.0735
Abcc3	0.095	0.42500000000000004	0.355	0.35	0.835	0.515	0.955	0.8	0.5700000000000001	198.84599999999998			82.2024
Abcc4	1.65	2.875	1.775	0.8200000000000001	0.96	0.865	1.02	1.275	2.205	107.74			76.9929
Abcc5	33.120000000000005	56.855000000000004	95.53	98.08500000000001	103.305	134.44	131.70499999999998	65.005	79.9	609.19			360.82300000000004
Abcc6	0.11499999999999999	0.14	0.12	0.125	0.265	0.22	0.33	0.195	0.43	99.0847			37.4107
