chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10039516	10040365	1700034P13Rik	606	111	258	149	222	45	50
chr1	10039516	10040365	Arfgef1	606	111	258	149	222	45	50
chr1	10039516	10040365	Cops5	606	111	258	149	222	45	50
chr1	10039516	10040365	Cspp1	606	111	258	149	222	45	50
chr1	10039516	10040365	Mcmdc2	606	111	258	149	222	45	50
chr1	10039516	10040365	Mybl1	606	111	258	149	222	45	50
chr1	10039516	10040365	Prex2	606	111	258	149	222	45	50
chr1	10039516	10040365	Rrs1	606	111	258	149	222	45	50
chr1	10039516	10040365	Sgk3	606	111	258	149	222	45	50
chr1	10039516	10040365	Snhg6	606	111	258	149	222	45	50
chr1	10039516	10040365	Sntg1	606	111	258	149	222	45	50
chr1	10039516	10040365	St18	606	111	258	149	222	45	50
chr1	10039516	10040365	Sulf1	606	111	258	149	222	45	50
chr1	10039516	10040365	Vcpip1	606	111	258	149	222	45	50
chr1	10039516	10040365	Vxn	606	111	258	149	222	45	50
chr1	105245947	105247098	Bcl2	167	89	103	111	132	37	5
chr1	105245947	105247098	Pign	167	89	103	111	132	37	5
chr1	105245947	105247098	Relch	167	89	103	111	132	37	5
chr1	105245947	105247098	Rnf152	167	89	103	111	132	37	5
chr1	105354730	105355434	Rnf152	92	8	31	45	115	46	18
chr1	105842681	105844935	Bcl2	179	61	116	95	176	97	17
chr1	105842681	105844935	Rnf152	179	61	116	95	176	97	17
chr1	105907996	105909040	Gm7160	67	18	56	55	86	29	29
chr1	105907996	105909040	Rnf152	67	18	56	55	86	29	29
chr1	10596358	10597189	Prex2	23	14	32	49	86	15	11
chr1	105993503	105994271	Bcl2	362	26	38	32	61	23	59
chr1	105993503	105994271	Gm7160	362	26	38	32	61	23	59
chr1	105993503	105994271	Kdsr	362	26	38	32	61	23	59
chr1	105993503	105994271	Phlpp1	362	26	38	32	61	23	59
chr1	105993503	105994271	Pign	362	26	38	32	61	23	59
chr1	105993503	105994271	Relch	362	26	38	32	61	23	59
chr1	106036785	106037676	Gm7160	49	11	28	17	30	8	8
chr1	106070818	106072498	Gm7160	133	43	91	115	136	26	37
chr1	106070818	106072498	Phlpp1	133	43	91	115	136	26	37
chr1	106070818	106072498	Pign	133	43	91	115	136	26	37
chr1	106070818	106072498	Relch	133	43	91	115	136	26	37
chr1	106148061	106149513	Phlpp1	145	65	112	84	111	20	6
chr1	106148061	106149513	Pign	145	65	112	84	111	20	6
chr1	106148061	106149513	Relch	145	65	112	84	111	20	6
chr1	106154521	106155694	Phlpp1	65	15	52	59	94	18	65
chr1	106154521	106155694	Rnf152	65	15	52	59	94	18	65
chr1	106185370	106186527	Phlpp1	95	22	65	62	58	19	20
chr1	106199614	106200433	Kdsr	373	145	262	160	210	47	55
chr1	106199614	106200433	Phlpp1	373	145	262	160	210	47	55
chr1	106199614	106200433	Pign	373	145	262	160	210	47	55
chr1	106199614	106200433	Relch	373	145	262	160	210	47	55
chr1	106199614	106200433	Vps4b	373	145	262	160	210	47	55
chr1	106201860	106202360	Phlpp1	90	19	43	49	53	11	11
chr1	106602438	106603783	Bcl2	112	36	87	111	133	41	45
chr1	106602438	106603783	Gm7160	112	36	87	111	133	41	45
chr1	106602438	106603783	Phlpp1	112	36	87	111	133	41	45
chr1	106602438	106603783	Pign	112	36	87	111	133	41	45
chr1	106602438	106603783	Relch	112	36	87	111	133	41	45
chr1	106628665	106630522	Bcl2	315	71	131	113	186	44	77
chr1	106628665	106630522	Gm7160	315	71	131	113	186	44	77
chr1	106628665	106630522	Kdsr	315	71	131	113	186	44	77
chr1	106628665	106630522	Pign	315	71	131	113	186	44	77
chr1	106628665	106630522	Relch	315	71	131	113	186	44	77
chr1	106628665	106630522	Vps4b	315	71	131	113	186	44	77
chr1	106702653	106703615	Bcl2	62	34	94	84	126	24	9
chr1	106702653	106703615	Kdsr	62	34	94	84	126	24	9
chr1	106702653	106703615	Rnf152	62	34	94	84	126	24	9
chr1	106702653	106703615	Vps4b	62	34	94	84	126	24	9
chr1	108181318	108182526	Vps4b	58	47	124	99	180	34	18
chr1	10990685	10991372	Prex2	36	12	25	10	37	9	17
chr1	109932584	109933434	Cdh7	17	9	12	21	38	6	2
chr1	109948506	109949006	Cdh7	17	5	7	15	18	2	2
chr1	109971646	109973055	Cdh7	117	55	84	77	87	16	8
chr1	109985413	109985913	Cdh7	29	7	13	14	15	2	7
chr1	11044844	11046765	Prex2	116	32	68	71	201	43	51
chr1	111857813	111858313	Dsel	19	11	17	21	31	9	1
chr1	118434571	118435646	2900060B14Rik	83	54	173	241	408	112	30
chr1	118434571	118435646	Clasp1	83	54	173	241	408	112	30
chr1	118434571	118435646	Nifk	83	54	173	241	408	112	30
chr1	118434571	118435646	Ralb	83	54	173	241	408	112	30
chr1	118434571	118435646	Tsn	83	54	173	241	408	112	30
chr1	118452183	118452928	2900060B14Rik	44	12	30	26	29	7	9
chr1	118457772	118458272	2900060B14Rik	58	38	59	62	87	14	20
chr1	118480433	118481210	2900060B14Rik	29	20	64	54	71	16	4
chr1	118480433	118481210	Nifk	29	20	64	54	71	16	4
chr1	118481264	118481764	2900060B14Rik	44	31	79	86	97	23	36
