chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10007210	10007710	Ppp1r42	30	10	27	33	23	8	10
chr1	10014407	10014907	Ppp1r42	73	18	58	71	47	18	44
chr1	10039543	10040333	1700034P13Rik	121	19	64	62	67	20	19
chr1	10039543	10040333	2610203C22Rik	121	19	64	62	67	20	19
chr1	10039543	10040333	A830018L16Rik	121	19	64	62	67	20	19
chr1	10039543	10040333	Adhfe1	121	19	64	62	67	20	19
chr1	10039543	10040333	Arfgef1	121	19	64	62	67	20	19
chr1	10039543	10040333	Cops5	121	19	64	62	67	20	19
chr1	10039543	10040333	Cspp1	121	19	64	62	67	20	19
chr1	10039543	10040333	Mcmdc2	121	19	64	62	67	20	19
chr1	10039543	10040333	Mybl1	121	19	64	62	67	20	19
chr1	10039543	10040333	Ppp1r42	121	19	64	62	67	20	19
chr1	10039543	10040333	Prex2	121	19	64	62	67	20	19
chr1	10039543	10040333	Rrs1	121	19	64	62	67	20	19
chr1	10039543	10040333	Sgk3	121	19	64	62	67	20	19
chr1	10039543	10040333	Snhg6	121	19	64	62	67	20	19
chr1	10039543	10040333	Snord87	121	19	64	62	67	20	19
chr1	10039543	10040333	Sntg1	121	19	64	62	67	20	19
chr1	10039543	10040333	Sulf1	121	19	64	62	67	20	19
chr1	10039543	10040333	Tcf24	121	19	64	62	67	20	19
chr1	10039543	10040333	Vcpip1	121	19	64	62	67	20	19
chr1	10039543	10040333	Vxn	121	19	64	62	67	20	19
chr1	104746752	104747350	Cdh20	191	33	127	91	88	20	18
chr1	104747409	104747909	Cdh20	135	29	67	52	58	18	4
chr1	104993904	104994719	Pign	190	33	102	89	130	30	28
chr1	104993904	104994719	Relch	190	33	102	89	130	30	28
chr1	105246116	105247075	Bcl2	225	72	151	149	172	59	12
chr1	105246116	105247075	Gm17634	225	72	151	149	172	59	12
chr1	105246116	105247075	Pign	225	72	151	149	172	59	12
chr1	105246116	105247075	Relch	225	72	151	149	172	59	12
chr1	105246116	105247075	Rnf152	225	72	151	149	172	59	12
chr1	105246116	105247075	Tnfrsf11a	225	72	151	149	172	59	12
chr1	105813358	105814033	Tnfrsf11a	122	18	63	55	49	14	16
chr1	105842922	105845089	Gm17634	696	147	345	322	379	117	137
chr1	105842922	105845089	Rnf152	696	147	345	322	379	117	137
chr1	105842922	105845089	Tnfrsf11a	696	147	345	322	379	117	137
chr1	105880522	105881423	Gm7160	205	53	107	95	117	32	32
chr1	105880522	105881423	Tnfrsf11a	205	53	107	95	117	32	32
chr1	105880522	105881423	Zcchc2	205	53	107	95	117	32	32
chr1	105993775	105994275	Bcl2	84	22	49	26	55	18	11
chr1	105993775	105994275	Gm20753	84	22	49	26	55	18	11
chr1	105993775	105994275	Gm7160	84	22	49	26	55	18	11
chr1	105993775	105994275	Kdsr	84	22	49	26	55	18	11
chr1	105993775	105994275	Phlpp1	84	22	49	26	55	18	11
chr1	105993775	105994275	Pign	84	22	49	26	55	18	11
chr1	105993775	105994275	Relch	84	22	49	26	55	18	11
chr1	105993775	105994275	Tnfrsf11a	84	22	49	26	55	18	11
chr1	105993775	105994275	Zcchc2	84	22	49	26	55	18	11
chr1	106148072	106149134	Gm20753	251	55	175	132	143	69	28
chr1	106148072	106149134	Phlpp1	251	55	175	132	143	69	28
chr1	106176778	106177278	Gm20753	157	20	88	118	93	26	18
chr1	106176778	106177278	Phlpp1	157	20	88	118	93	26	18
chr1	106185397	106186515	Gm20753	370	83	172	213	168	57	72
chr1	106185397	106186515	Phlpp1	370	83	172	213	168	57	72
chr1	106199251	106200463	Bcl2	442	93	279	290	281	76	129
chr1	106199251	106200463	Cdh20	442	93	279	290	281	76	129
chr1	106199251	106200463	Gm17634	442	93	279	290	281	76	129
chr1	106199251	106200463	Gm20753	442	93	279	290	281	76	129
chr1	106199251	106200463	Kdsr	442	93	279	290	281	76	129
chr1	106199251	106200463	Phlpp1	442	93	279	290	281	76	129
chr1	106199251	106200463	Pign	442	93	279	290	281	76	129
chr1	106199251	106200463	Relch	442	93	279	290	281	76	129
chr1	106199251	106200463	Rnf152	442	93	279	290	281	76	129
chr1	106199251	106200463	Tnfrsf11a	442	93	279	290	281	76	129
chr1	106199251	106200463	Vps4b	442	93	279	290	281	76	129
chr1	106464346	106466303	Bcl2	561	120	276	214	195	75	24
chr1	106464346	106466303	Pign	561	120	276	214	195	75	24
chr1	106464346	106466303	Relch	561	120	276	214	195	75	24
chr1	106464346	106466303	Tnfrsf11a	561	120	276	214	195	75	24
chr1	106464346	106466303	Vps4b	561	120	276	214	195	75	24
chr1	106628640	106630728	Bcl2	897	148	426	395	315	97	203
chr1	106628640	106630728	Gm7160	897	148	426	395	315	97	203
chr1	106628640	106630728	Kdsr	897	148	426	395	315	97	203
chr1	106628640	106630728	Pign	897	148	426	395	315	97	203
chr1	106628640	106630728	Relch	897	148	426	395	315	97	203
chr1	106628640	106630728	Vps4b	897	148	426	395	315	97	203
chr1	106628640	106630728	Zcchc2	897	148	426	395	315	97	203
chr1	106712158	106712873	Bcl2	253	59	156	175	212	42	106
chr1	108023660	108025168	Pign	286	76	158	152	94	35	14
chr1	108023660	108025168	Relch	286	76	158	152	94	35	14
chr1	10918195	10920412	A830018L16Rik	213	64	120	167	135	50	23
chr1	10918195	10920412	Prex2	213	64	120	167	135	50	23
chr1	109971662	109973341	Cdh7	356	70	163	206	171	47	8
chr1	109985396	109985896	Cdh7	57	21	50	28	40	13	18
chr1	11065133	11066368	Prex2	123	35	68	69	77	27	50
chr1	111699102	111700028	Dsel	218	31	119	89	90	34	14
chr1	111753955	111754754	Dsel	170	30	87	62	59	14	17
chr1	111852366	111852866	Dsel	25	10	21	12	14	6	9
chr1	111863910	111864410	Dsel	49	12	35	32	47	18	25
chr1	112416295	112417189	Dsel	156	29	89	67	84	24	47
chr1	11329408	11330701	A830018L16Rik	316	66	176	158	173	77	47
chr1	11329408	11330701	Prex2	316	66	176	158	173	77	47
chr1	11657332	11658718	A830018L16Rik	108	40	78	53	84	44	29
chr1	118434541	118435350	2900060B14Rik	106	26	113	134	146	52	64
chr1	118449190	118449690	2900060B14Rik	22	10	37	30	47	5	8
chr1	118480432	118481716	2900060B14Rik	247	69	173	199	243	66	91
chr1	118480432	118481716	Tfcp2l1	247	69	173	199	243	66	91
chr1	118758974	118760075	Tfcp2l1	92	40	102	82	99	27	70
chr1	118776134	118777039	Inhbb	319	60	195	199	219	52	54
chr1	118776134	118777039	Mir6346	319	60	195	199	219	52	54
chr1	118776134	118777039	Ralb	319	60	195	199	219	52	54
chr1	118776134	118777039	Steap3	319	60	195	199	219	52	54
chr1	118889871	118891182	Tfcp2l1	570	101	299	265	256	52	62
chr1	118910715	118911563	Gli2	354	87	214	217	196	55	29
chr1	118910715	118911563	Inhbb	354	87	214	217	196	55	29
chr1	118910715	118911563	Mir6346	354	87	214	217	196	55	29
chr1	118910715	118911563	Nifk	354	87	214	217	196	55	29
chr1	118910715	118911563	Ralb	354	87	214	217	196	55	29
chr1	118910715	118911563	Sctr	354	87	214	217	196	55	29
chr1	118910715	118911563	Tfcp2l1	354	87	214	217	196	55	29
chr1	118910715	118911563	Tmem177	354	87	214	217	196	55	29
chr1	118910715	118911563	Tmem185b	354	87	214	217	196	55	29
chr1	118912922	118913506	Mir6346	284	78	150	154	159	29	45
chr1	118935909	118936635	Mir6346	304	50	167	194	166	39	21
chr1	118981845	118982345	Mir6346	292	59	149	145	90	23	19
chr1	118982408	118983839	Cfap221	1064	168	523	475	419	104	97
chr1	118982408	118983839	Clasp1	1064	168	523	475	419	104	97
chr1	118982408	118983839	Gli2	1064	168	523	475	419	104	97
chr1	118982408	118983839	Mir6346	1064	168	523	475	419	104	97
chr1	118982408	118983839	Nifk	1064	168	523	475	419	104	97
chr1	118982408	118983839	Ptpn4	1064	168	523	475	419	104	97
chr1	118982408	118983839	Ralb	1064	168	523	475	419	104	97
chr1	118982408	118983839	Tfcp2l1	1064	168	523	475	419	104	97
chr1	118982408	118983839	Tmem177	1064	168	523	475	419	104	97
chr1	118982408	118983839	Tmem185b	1064	168	523	475	419	104	97
chr1	118982408	118983839	Tmem37	1064	168	523	475	419	104	97
chr1	119033720	119034220	Epb41l5	381	66	155	154	103	31	56
chr1	119033720	119034220	Gli2	381	66	155	154	103	31	56
chr1	119033720	119034220	Ralb	381	66	155	154	103	31	56
chr1	119033720	119034220	Tfcp2l1	381	66	155	154	103	31	56
chr1	119033720	119034220	Tmem185b	381	66	155	154	103	31	56
chr1	119047379	119048383	2900060B14Rik	338	54	148	136	152	28	53
chr1	119047379	119048383	C1ql2	338	54	148	136	152	28	53
chr1	119047379	119048383	Cfap221	338	54	148	136	152	28	53
chr1	119047379	119048383	Epb41l5	338	54	148	136	152	28	53
chr1	119047379	119048383	Gli2	338	54	148	136	152	28	53
chr1	119047379	119048383	Inhbb	338	54	148	136	152	28	53
chr1	119047379	119048383	Mir6346	338	54	148	136	152	28	53
chr1	119047379	119048383	Nifk	338	54	148	136	152	28	53
chr1	119047379	119048383	Ptpn4	338	54	148	136	152	28	53
chr1	119047379	119048383	Ralb	338	54	148	136	152	28	53
chr1	119047379	119048383	Sctr	338	54	148	136	152	28	53
chr1	119047379	119048383	Steap3	338	54	148	136	152	28	53
