chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10014419	10014919	Cops5	146	148	154	133	103	212	33
chr1	10014419	10014919	Cspp1	146	148	154	133	103	212	33
chr1	10039512	10040350	Arfgef1	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Cops5	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Cspp1	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Mcmdc2	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Mybl1	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Prex2	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Rrs1	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Sgk3	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Snhg6	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Sntg1	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	St18	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Vcpip1	1754	1497	1943	2050	1694	2494	1131
chr1	10039512	10040350	Vxn	1754	1497	1943	2050	1694	2494	1131
chr1	105245897	105247112	Bcl2	649	391	380	420	298	341	37
chr1	105245897	105247112	Pign	649	391	380	420	298	341	37
chr1	105245897	105247112	Relch	649	391	380	420	298	341	37
chr1	105245897	105247112	Rnf152	649	391	380	420	298	341	37
chr1	105354736	105355445	Rnf152	171	202	325	284	319	367	233
chr1	105842716	105845165	Bcl2	788	748	1082	858	963	1525	503
chr1	105842716	105845165	Rnf152	788	748	1082	858	963	1525	503
chr1	105842716	105845165	Vps4b	788	748	1082	858	963	1525	503
chr1	105907878	105909050	Rnf152	117	150	318	271	308	277	406
chr1	105993775	105994275	Gm7160	804	607	817	750	525	640	434
chr1	105993775	105994275	Zcchc2	804	607	817	750	525	640	434
chr1	106036769	106037638	Gm7160	249	293	417	309	340	281	408
chr1	106036769	106037638	Zcchc2	249	293	417	309	340	281	408
chr1	106071166	106072483	Gm7160	518	588	962	923	769	636	812
chr1	106071166	106072483	Phlpp1	518	588	962	923	769	636	812
chr1	106071166	106072483	Pign	518	588	962	923	769	636	812
chr1	106071166	106072483	Relch	518	588	962	923	769	636	812
chr1	106071166	106072483	Zcchc2	518	588	962	923	769	636	812
chr1	106148369	106149183	Phlpp1	136	144	190	198	148	104	57
chr1	106154906	106155648	Phlpp1	50	53	186	185	210	362	286
chr1	106185367	106186524	Phlpp1	237	217	189	226	177	80	69
chr1	106199581	106200442	Bcl2	866	653	758	745	529	445	274
chr1	106199581	106200442	Kdsr	866	653	758	745	529	445	274
chr1	106199581	106200442	Phlpp1	866	653	758	745	529	445	274
chr1	106199581	106200442	Pign	866	653	758	745	529	445	274
chr1	106199581	106200442	Relch	866	653	758	745	529	445	274
chr1	106199581	106200442	Rnf152	866	653	758	745	529	445	274
chr1	106199581	106200442	Vps4b	866	653	758	745	529	445	274
chr1	106201869	106202369	Phlpp1	119	111	224	191	203	180	48
chr1	106389229	106390142	Bcl2	190	182	259	165	171	199	305
chr1	106394700	106396303	Rnf152	334	358	514	422	444	394	440
chr1	106394700	106396303	Vps4b	334	358	514	422	444	394	440
chr1	106628658	106630738	Bcl2	502	384	600	651	542	434	1198
chr1	106628658	106630738	Gm7160	502	384	600	651	542	434	1198
chr1	106628658	106630738	Kdsr	502	384	600	651	542	434	1198
chr1	106628658	106630738	Pign	502	384	600	651	542	434	1198
chr1	106628658	106630738	Relch	502	384	600	651	542	434	1198
chr1	106628658	106630738	Vps4b	502	384	600	651	542	434	1198
chr1	106628658	106630738	Zcchc2	502	384	600	651	542	434	1198
chr1	106702659	106703610	Bcl2	209	263	485	574	400	391	64
chr1	106702659	106703610	Kdsr	209	263	485	574	400	391	64
chr1	106702659	106703610	Rnf152	209	263	485	574	400	391	64
chr1	106702659	106703610	Vps4b	209	263	485	574	400	391	64
chr1	108181308	108182554	Vps4b	220	385	449	459	457	280	619
chr1	10990860	10991360	Prex2	56	47	116	117	94	78	34
chr1	109971629	109972572	Cdh7	502	360	485	426	307	94	53
chr1	109972573	109973073	Cdh7	146	125	137	135	89	32	31
chr1	109985392	109985892	Cdh7	258	186	161	141	130	128	149
chr1	11033100	11033923	Prex2	106	80	133	76	156	146	59
chr1	11044821	11046748	Prex2	218	188	483	405	447	316	201
chr1	111857880	111858380	Dsel	41	48	119	96	79	83	108
chr1	112416275	112417577	Dsel	735	643	1015	801	1048	919	2085
chr1	118388018	118388518	2900060B14Rik	194	206	254	296	211	298	118
chr1	118388018	118388518	Clasp1	194	206	254	296	211	298	118
chr1	118388018	118388518	Tsn	194	206	254	296	211	298	118
chr1	118389920	118390420	2900060B14Rik	278	263	339	357	335	374	362
chr1	118389920	118390420	Clasp1	278	263	339	357	335	374	362
chr1	118389920	118390420	Nifk	278	263	339	357	335	374	362
chr1	118389920	118390420	Tsn	278	263	339	357	335	374	362
chr1	118434611	118435649	2900060B14Rik	163	261	388	452	429	610	155
chr1	118434611	118435649	Clasp1	163	261	388	452	429	610	155
chr1	118434611	118435649	Nifk	163	261	388	452	429	610	155
chr1	118434611	118435649	Ralb	163	261	388	452	429	610	155
chr1	118434611	118435649	Tsn	163	261	388	452	429	610	155
chr1	118452574	118453074	2900060B14Rik	55	62	89	63	82	41	37
chr1	118476834	118477334	2900060B14Rik	98	86	118	128	104	207	261
chr1	118480418	118481220	2900060B14Rik	199	220	441	534	297	179	130
chr1	118480418	118481220	Nifk	199	220	441	534	297	179	130
chr1	118481269	118481769	2900060B14Rik	253	217	349	423	216	123	336
chr1	118481269	118481769	Nifk	253	217	349	423	216	123	336
chr1	118776549	118777537	Epb41l5	641	649	815	834	705	441	390
chr1	118776549	118777537	Gli2	641	649	815	834	705	441	390
chr1	118776549	118777537	Inhbb	641	649	815	834	705	441	390
chr1	118776549	118777537	Nifk	641	649	815	834	705	441	390
chr1	118776549	118777537	Ralb	641	649	815	834	705	441	390
chr1	118776549	118777537	Tmem185b	641	649	815	834	705	441	390
chr1	118776549	118777537	Tsn	641	649	815	834	705	441	390
chr1	118910577	118911545	Gli2	1034	739	757	790	523	322	64
chr1	118910577	118911545	Inhbb	1034	739	757	790	523	322	64
chr1	118910577	118911545	Nifk	1034	739	757	790	523	322	64
chr1	118910577	118911545	Ralb	1034	739	757	790	523	322	64
chr1	118910577	118911545	Tmem177	1034	739	757	790	523	322	64
chr1	118910577	118911545	Tmem185b	1034	739	757	790	523	322	64
chr1	118981747	118983354	2900060B14Rik	801	949	1470	1813	1200	656	58
chr1	118981747	118983354	Clasp1	801	949	1470	1813	1200	656	58
