chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10014484	10014984	Cops5	83	24	62	71	45	17	47
chr1	10014484	10014984	Cspp1	83	24	62	71	45	17	47
chr1	10014484	10014984	Snhg6	83	24	62	71	45	17	47
chr1	10018669	10019169	Cops5	22	10	18	26	18	6	10
chr1	10018669	10019169	Cspp1	22	10	18	26	18	6	10
chr1	10039459	10039959	Arfgef1	86	20	45	50	55	15	28
chr1	10039459	10039959	Cops5	86	20	45	50	55	15	28
chr1	10039459	10039959	Cspp1	86	20	45	50	55	15	28
chr1	10039459	10039959	Mcmdc2	86	20	45	50	55	15	28
chr1	10039459	10039959	Snhg6	86	20	45	50	55	15	28
chr1	10057660	10058160	Cops5	18	17	18	14	17	10	56
chr1	10057660	10058160	Cspp1	18	17	18	14	17	10	56
chr1	10057660	10058160	Snhg6	18	17	18	14	17	10	56
chr1	10058290	10058790	Cops5	20	4	13	13	13	6	9
chr1	10058290	10058790	Cspp1	20	4	13	13	13	6	9
chr1	10141262	10142379	Arfgef1	54	34	44	39	31	21	125
chr1	10141262	10142379	Cops5	54	34	44	39	31	21	125
chr1	10141262	10142379	Cspp1	54	34	44	39	31	21	125
chr1	10141262	10142379	Mcmdc2	54	34	44	39	31	21	125
chr1	10141262	10142379	Sgk3	54	34	44	39	31	21	125
chr1	10141262	10142379	Snhg6	54	34	44	39	31	21	125
chr1	10228857	10229357	Arfgef1	53	25	58	47	67	28	43
chr1	10233448	10233948	Arfgef1	65	24	61	56	71	20	16
chr1	10247658	10248158	Arfgef1	19	9	26	23	18	12	18
chr1	104746569	104747236	Cdh20	177	36	134	91	88	22	20
chr1	104754491	104754991	Cdh20	30	14	28	26	33	10	32
chr1	104755686	104756403	Cdh20	50	18	44	25	27	17	17
chr1	104769223	104770365	Bcl2	189	49	130	120	156	47	69
chr1	104769223	104770365	Cdh20	189	49	130	120	156	47	69
chr1	104769223	104770365	Pign	189	49	130	120	156	47	69
chr1	104769223	104770365	Relch	189	49	130	120	156	47	69
chr1	104769223	104770365	Rnf152	189	49	130	120	156	47	69
chr1	104769223	104770365	Tnfrsf11a	189	49	130	120	156	47	69
chr1	104773185	104773685	Cdh20	12	3	13	9	26	22	14
chr1	104838142	104839398	Cdh20	310	71	176	190	199	87	86
chr1	104838142	104839398	Phlpp1	310	71	176	190	199	87	86
chr1	105067966	105068466	Rnf152	34	18	42	41	52	23	52
chr1	105093908	105094859	Cdh20	37	16	52	40	42	21	64
chr1	105093908	105094859	Kdsr	37	16	52	40	42	21	64
chr1	105093908	105094859	Serpinb8	37	16	52	40	42	21	64
chr1	105492647	105493147	Rnf152	27	18	18	21	34	18	24
chr1	105757132	105757632	Tnfrsf11a	50	15	27	20	27	13	17
chr1	105757640	105758140	Tnfrsf11a	16	8	17	21	12	9	3
chr1	105786894	105787559	Phlpp1	41	14	23	27	28	12	30
chr1	105786894	105787559	Tnfrsf11a	41	14	23	27	28	12	30
chr1	105795740	105796240	Tnfrsf11a	27	8	25	14	16	7	11
chr1	105801225	105801725	Tnfrsf11a	34	16	29	19	23	7	29
chr1	105908020	105908520	Rnf152	75	16	57	82	95	36	85
chr1	105908020	105908520	Zcchc2	75	16	57	82	95	36	85
chr1	105945035	105945535	Kdsr	38	12	24	26	47	16	28
chr1	105945035	105945535	Pign	38	12	24	26	47	16	28
chr1	105945035	105945535	Relch	38	12	24	26	47	16	28
chr1	105947042	105947542	Kdsr	80	17	40	65	82	28	46
chr1	105947042	105947542	Pign	80	17	40	65	82	28	46
chr1	105947042	105947542	Relch	80	17	40	65	82	28	46
chr1	105977291	105977977	Tnfrsf11a	35	7	26	29	30	18	45
chr1	105977291	105977977	Zcchc2	35	7	26	29	30	18	45
chr1	105993737	105994237	Bcl2	79	21	50	28	60	19	11
chr1	105993737	105994237	Kdsr	79	21	50	28	60	19	11
chr1	105993737	105994237	Phlpp1	79	21	50	28	60	19	11
chr1	105993737	105994237	Pign	79	21	50	28	60	19	11
chr1	105993737	105994237	Relch	79	21	50	28	60	19	11
chr1	105993737	105994237	Tnfrsf11a	79	21	50	28	60	19	11
chr1	105993737	105994237	Zcchc2	79	21	50	28	60	19	11
chr1	105999579	106000079	Zcchc2	29	12	27	25	31	7	22
chr1	106036902	106037740	Zcchc2	78	28	68	53	75	23	64
chr1	106039243	106039743	Zcchc2	31	8	25	30	54	16	93
chr1	106155111	106155611	Phlpp1	77	19	54	66	62	14	33
chr1	106155111	106155611	Rnf152	77	19	54	66	62	14	33
chr1	106173091	106173591	Kdsr	90	32	51	57	63	17	24
chr1	106173091	106173591	Phlpp1	90	32	51	57	63	17	24
chr1	106173091	106173591	Rnf152	90	32	51	57	63	17	24
chr1	106173091	106173591	Serpinb8	90	32	51	57	63	17	24
chr1	106173091	106173591	Tnfrsf11a	90	32	51	57	63	17	24
chr1	106173091	106173591	Vps4b	90	32	51	57	63	17	24
chr1	106173091	106173591	Zcchc2	90	32	51	57	63	17	24
chr1	106197852	106198352	Phlpp1	209	38	101	91	92	27	22
chr1	106199664	106200164	Phlpp1	141	28	76	92	105	26	61
chr1	106204176	106204676	Phlpp1	212	54	111	118	89	35	42
chr1	106240010	106240659	Vps4b	79	20	73	97	112	37	55
chr1	106240948	106241448	Vps4b	105	30	75	90	92	31	53
chr1	106352807	106353307	Bcl2	20	13	27	17	28	16	72
chr1	106352807	106353307	Kdsr	20	13	27	17	28	16	72
chr1	106352807	106353307	Pign	20	13	27	17	28	16	72
chr1	106352807	106353307	Relch	20	13	27	17	28	16	72
chr1	106618265	106618765	Bcl2	28	15	33	16	24	12	30
chr1	106628776	106630101	Bcl2	546	84	231	245	211	58	124
chr1	106628776	106630101	Cdh19	546	84	231	245	211	58	124
chr1	106628776	106630101	Kdsr	546	84	231	245	211	58	124
chr1	106628776	106630101	Pign	546	84	231	245	211	58	124
chr1	106628776	106630101	Relch	546	84	231	245	211	58	124
chr1	106628776	106630101	Serpinb8	546	84	231	245	211	58	124
chr1	106628776	106630101	Vps4b	546	84	231	245	211	58	124
chr1	106628776	106630101	Zcchc2	546	84	231	245	211	58	124
chr1	106687703	106688203	Bcl2	48	12	38	33	40	13	48
chr1	106687703	106688203	Kdsr	48	12	38	33	40	13	48
chr1	106687703	106688203	Pign	48	12	38	33	40	13	48
chr1	106687703	106688203	Relch	48	12	38	33	40	13	48
chr1	106687703	106688203	Vps4b	48	12	38	33	40	13	48
chr1	106700804	106701304	Bcl2	47	22	36	59	42	26	32
chr1	106700804	106701304	Kdsr	47	22	36	59	42	26	32
chr1	106706922	106707422	Bcl2	46	23	50	53	79	24	30
chr1	106706922	106707422	Kdsr	46	23	50	53	79	24	30
chr1	106711720	106712220	Bcl2	93	35	67	79	100	17	51
chr1	106711720	106712220	Vps4b	93	35	67	79	100	17	51
chr1	106712397	106712897	Bcl2	165	43	99	120	155	32	57
chr1	106712397	106712897	Kdsr	165	43	99	120	155	32	57
chr1	106712397	106712897	Pign	165	43	99	120	155	32	57
chr1	106712397	106712897	Relch	165	43	99	120	155	32	57
chr1	106712397	106712897	Vps4b	165	43	99	120	155	32	57
chr1	106739764	106740264	Bcl2	22	9	24	21	18	4	43
chr1	106739764	106740264	Kdsr	22	9	24	21	18	4	43
chr1	106765726	106766226	Kdsr	17	9	23	16	17	11	31
chr1	106765726	106766226	Rnf152	17	9	23	16	17	11	31
chr1	106765726	106766226	Vps4b	17	9	23	16	17	11	31
chr1	106865572	106866427	Kdsr	33	20	46	64	51	18	33
chr1	107559159	107559659	Serpinb8	11	8	14	14	16	11	9
chr1	107581089	107581589	Serpinb8	15	10	17	15	22	14	34
chr1	107582271	107583148	Serpinb8	32	16	35	30	31	19	27
chr1	107591225	107591725	Serpinb8	8	6	21	8	17	9	19
chr1	107598430	107598930	Serpinb8	28	18	23	17	20	5	12
chr1	107645153	107646596	Serpinb8	85	36	73	63	56	33	101
chr1	107645153	107646596	Vps4b	85	36	73	63	56	33	101
chr1	10942834	10943334	Prex2	39	13	29	36	47	23	34
chr1	109981898	109982398	Cdh19	85	32	55	44	74	23	9
chr1	109981898	109982398	Cdh7	85	32	55	44	74	23	9
chr1	109983584	109984084	Cdh19	80	19	38	50	58	22	7
chr1	109983584	109984084	Cdh7	80	19	38	50	58	22	7
chr1	11026486	11027711	Prex2	87	25	61	67	80	38	72
chr1	11033225	11033725	Prex2	51	31	42	49	56	15	40
chr1	110476072	110476572	Cdh19	9	10	16	19	15	7	9
chr1	11065199	11065699	Prex2	49	18	35	26	32	9	33
chr1	111020476	111020976	Cdh19	77	25	58	46	43	23	21
chr1	112192492	112192992	Cdh19	7	5	25	16	15	10	18
chr1	112416561	112417061	Cdh19	101	16	57	35	45	13	32
chr1	112416561	112417061	Dsel	101	16	57	35	45	13	32
chr1	113372046	113372998	Dsel	25	6	27	33	42	14	32
chr1	11427314	11427814	A830018L16Rik	13	11	22	24	21	7	28
chr1	11566040	11566540	A830018L16Rik	27	13	22	22	22	12	25
chr1	115673244	115673744	Cntnap5a	8	3	9	8	13	8	5
chr1	115685295	115685795	Cntnap5a	25	8	48	44	31	20	15
chr1	115686312	115686812	Cntnap5a	12	7	17	16	23	12	7
chr1	115734518	115735348	Cntnap5a	37	10	25	20	35	24	19
chr1	11573593	11574093	A830018L16Rik	18	6	13	13	29	10	20
chr1	115745150	115745993	Cntnap5a	30	13	34	32	21	13	35
chr1	115786169	115786669	Cntnap5a	21	13	22	31	41	16	24
chr1	11579904	11580404	A830018L16Rik	18	11	23	22	37	14	44
chr1	115808689	115809189	Cntnap5a	31	17	35	33	43	13	30
chr1	11588136	11588636	A830018L16Rik	24	8	29	14	22	10	26
chr1	115945978	115946478	Cntnap5a	27	7	17	16	33	10	30
chr1	115965001	115965501	Cntnap5a	24	2	18	22	50	19	38
chr1	116016466	116016966	Cntnap5a	12	11	14	10	15	17	15
chr1	116038314	116039074	Cntnap5a	14	10	19	28	35	33	21
chr1	116243765	116244720	Cntnap5a	16	11	38	27	28	13	11
chr1	118295098	118295598	Tsn	35	10	54	41	36	13	21
chr1	118337889	118338389	Clasp1	20	8	18	14	31	9	38
chr1	118337889	118338389	Nifk	20	8	18	14	31	9	38
chr1	118337889	118338389	Tsn	20	8	18	14	31	9	38
chr1	118359145	118359645	Clasp1	22	6	18	19	27	13	37
chr1	118387951	118388451	2900060B14Rik	69	17	41	53	61	29	12
chr1	118387951	118388451	Clasp1	69	17	41	53	61	29	12
chr1	118387951	118388451	Tsn	69	17	41	53	61	29	12
chr1	118409193	118409693	Clasp1	37	20	29	45	48	20	34
chr1	118422652	118423152	2900060B14Rik	51	19	41	44	55	22	62
chr1	118422652	118423152	Nifk	51	19	41	44	55	22	62
chr1	118434892	118435392	2900060B14Rik	83	24	71	97	116	42	54
chr1	118434892	118435392	Clasp1	83	24	71	97	116	42	54
chr1	118457145	118457645	2900060B14Rik	219	38	145	151	142	34	110
chr1	118457145	118457645	Clasp1	219	38	145	151	142	34	110
chr1	118457145	118457645	Nifk	219	38	145	151	142	34	110
chr1	118457145	118457645	Tsn	219	38	145	151	142	34	110
chr1	118470243	118470743	2900060B14Rik	25	11	20	17	23	7	44
chr1	118481696	118482196	2900060B14Rik	153	40	103	163	147	21	44
chr1	118481696	118482196	Clasp1	153	40	103	163	147	21	44
chr1	118481696	118482196	Nifk	153	40	103	163	147	21	44
chr1	118481696	118482196	Ralb	153	40	103	163	147	21	44
chr1	118481696	118482196	Tsn	153	40	103	163	147	21	44
chr1	118542571	118543462	Clasp1	27	21	30	28	36	12	78
chr1	118542571	118543462	Nifk	27	21	30	28	36	12	78
chr1	118864118	118865098	Epb41l5	101	33	68	102	70	24	131
chr1	119034004	119034504	Epb41l5	394	58	168	118	110	27	66
chr1	119034004	119034504	Ralb	394	58	168	118	110	27	66
chr1	119034004	119034504	Tmem185b	394	58	168	118	110	27	66
chr1	119034004	119034504	Tsn	394	58	168	118	110	27	66
chr1	119388677	119389177	Inhbb	134	34	78	77	114	36	63
chr1	119419653	119420153	Inhbb	111	29	54	47	44	16	19
chr1	119420213	119420713	Inhbb	164	35	95	69	85	17	26
chr1	119451462	119451962	Inhbb	49	19	52	75	71	26	73
chr1	119451462	119451962	Ralb	49	19	52	75	71	26	73
chr1	119484470	119484970	Ralb	55	23	32	22	46	17	27
chr1	119546371	119547109	Tmem185b	26	12	18	27	35	5	31
chr1	119548605	119549436	Ralb	46	12	29	40	42	12	55
chr1	119548605	119549436	Tmem185b	46	12	29	40	42	12	55
chr1	119557556	119558056	Epb41l5	16	15	26	19	25	9	13
chr1	119557556	119558056	Inhbb	16	15	26	19	25	9	13
chr1	119557556	119558056	Ralb	16	15	26	19	25	9	13
chr1	119557556	119558056	Tmem185b	16	15	26	19	25	9	13
chr1	119605315	119605815	Epb41l5	20	13	24	19	17	11	44
chr1	119605315	119605815	Ralb	20	13	24	19	17	11	44
chr1	119669606	119670106	Epb41l5	49	12	20	23	20	9	17
chr1	119734673	119735173	Epb41l5	21	12	25	17	21	11	25
chr1	119734673	119735173	Ralb	21	12	25	17	21	11	25
chr1	119784531	119785489	Epb41l5	34	18	55	61	60	24	62
chr1	119878898	119879398	Ptpn4	26	14	25	45	82	29	49
chr1	119878898	119879398	Tmem177	26	14	25	45	82	29	49
chr1	119884298	119884798	Ptpn4	30	12	23	25	64	25	38
chr1	119884298	119884798	Tmem177	30	12	23	25	64	25	38
chr1	119886457	119886957	Ptpn4	82	18	47	39	60	23	56
chr1	119886457	119886957	Tmem177	82	18	47	39	60	23	56
chr1	119891039	119891539	C1ql2	39	15	19	20	37	19	58
chr1	119891039	119891539	Clasp1	39	15	19	20	37	19	58
chr1	119891039	119891539	Ptpn4	39	15	19	20	37	19	58
chr1	119891039	119891539	Ralb	39	15	19	20	37	19	58
chr1	119891039	119891539	Steap3	39	15	19	20	37	19	58
chr1	119891039	119891539	Tmem177	39	15	19	20	37	19	58
chr1	119891039	119891539	Tmem185b	39	15	19	20	37	19	58
chr1	119891039	119891539	Tmem37	39	15	19	20	37	19	58
chr1	119893654	119894154	C1ql2	29	12	18	25	29	21	53
chr1	119893654	119894154	Ptpn4	29	12	18	25	29	21	53
chr1	119893654	119894154	Steap3	29	12	18	25	29	21	53
chr1	119893654	119894154	Tmem177	29	12	18	25	29	21	53
chr1	119893654	119894154	Tmem185b	29	12	18	25	29	21	53
chr1	119893654	119894154	Tmem37	29	12	18	25	29	21	53
chr1	119899627	119900127	Tmem177	104	19	101	91	112	31	43
chr1	119911972	119912472	Tmem177	132	26	91	125	137	25	43
chr1	119919336	119919836	Tmem177	24	12	21	14	19	11	14
chr1	120021907	120022407	Tmem37	24	10	16	17	19	14	32
chr1	120055309	120055809	Tmem37	43	11	33	23	29	16	34
chr1	120056170	120056670	Tmem37	45	10	25	34	33	13	27
chr1	120056868	120057368	Tmem37	60	13	26	24	24	8	55
chr1	120072295	120072795	Tmem37	56	12	38	32	28	8	29
chr1	120074338	120075062	3110009E18Rik	200	38	78	46	45	14	58
chr1	120074338	120075062	C1ql2	200	38	78	46	45	14	58
chr1	120074338	120075062	Dbi	200	38	78	46	45	14	58
chr1	120074338	120075062	Tmem37	200	38	78	46	45	14	58
chr1	120099429	120099929	3110009E18Rik	47	10	23	20	22	8	33
chr1	120099429	120099929	Dbi	47	10	23	20	22	8	33
chr1	120099429	120099929	Tmem37	47	10	23	20	22	8	33
chr1	120115500	120116000	3110009E18Rik	71	23	60	65	77	19	19
chr1	120115500	120116000	C1ql2	71	23	60	65	77	19	19
chr1	120115500	120116000	Dbi	71	23	60	65	77	19	19
chr1	120115500	120116000	Epb41l5	71	23	60	65	77	19	19
chr1	120115500	120116000	Ptpn4	71	23	60	65	77	19	19
chr1	120115500	120116000	Steap3	71	23	60	65	77	19	19
chr1	120115500	120116000	Tmem37	71	23	60	65	77	19	19
chr1	120130323	120131201	3110009E18Rik	38	17	40	32	40	15	48
chr1	120130323	120131201	C1ql2	38	17	40	32	40	15	48
chr1	120130323	120131201	Dbi	38	17	40	32	40	15	48
chr1	120130323	120131201	Steap3	38	17	40	32	40	15	48
chr1	120130323	120131201	Tmem37	38	17	40	32	40	15	48
chr1	120132473	120132973	3110009E18Rik	23	4	9	13	12	9	13
chr1	120132473	120132973	Dbi	23	4	9	13	12	9	13
chr1	120136096	120136596	3110009E18Rik	43	14	27	39	36	16	71
chr1	120136096	120136596	C1ql2	43	14	27	39	36	16	71
chr1	120136096	120136596	Dbi	43	14	27	39	36	16	71
chr1	120136096	120136596	Epb41l5	43	14	27	39	36	16	71
chr1	120136096	120136596	Ptpn4	43	14	27	39	36	16	71
chr1	120136096	120136596	Steap3	43	14	27	39	36	16	71
chr1	120136096	120136596	Tmem177	43	14	27	39	36	16	71
chr1	120136096	120136596	Tmem37	43	14	27	39	36	16	71
chr1	120190928	120191428	C1ql2	18	9	16	27	31	13	33
chr1	120190928	120191428	Steap3	18	9	16	27	31	13	33
chr1	120196796	120197604	Steap3	86	30	57	67	54	20	66
chr1	120231232	120231732	C1ql2	45	25	33	14	19	13	24
chr1	120231232	120231732	Steap3	45	25	33	14	19	13	24
chr1	120245645	120246145	C1ql2	70	17	56	46	55	17	55
chr1	120245645	120246145	Steap3	70	17	56	46	55	17	55
chr1	120248053	120248553	C1ql2	60	7	31	24	35	13	31
chr1	120248053	120248553	Steap3	60	7	31	24	35	13	31
chr1	120264968	120265468	3110009E18Rik	121	29	75	66	88	38	26
chr1	120264968	120265468	C1ql2	121	29	75	66	88	38	26
chr1	120264968	120265468	Dbi	121	29	75	66	88	38	26
chr1	120264968	120265468	Steap3	121	29	75	66	88	38	26
chr1	120264968	120265468	Tmem37	121	29	75	66	88	38	26
chr1	120327619	120328119	C1ql2	26	12	25	24	25	13	15
chr1	120342209	120342962	C1ql2	194	51	114	110	153	43	45
chr1	120357337	120357837	C1ql2	148	23	76	62	80	29	26
chr1	121290364	121290864	Insig2	35	15	32	28	43	16	50
chr1	121314996	121315496	Insig2	34	12	54	74	73	28	52
chr1	12367707	12368668	Sulf1	82	18	51	35	53	22	39
chr1	126737450	126738763	Lypd1	374	111	218	256	267	70	86
chr1	12706276	12706776	Sulf1	97	21	52	38	30	10	35
chr1	12715459	12715959	Sulf1	94	7	39	23	20	10	20
chr1	12718093	12718593	Sulf1	209	41	86	80	83	27	61
chr1	127205940	127206684	Lypd1	184	30	66	55	67	12	39
chr1	127958753	127959886	Lypd1	318	65	238	195	179	85	186
chr1	132199668	132201060	Lemd1	850	160	384	350	342	91	137
chr1	132199668	132201060	Rab7b	850	160	384	350	342	91	137
chr1	136141439	136142380	Igfn1	280	57	254	305	359	67	267
chr1	136141439	136142380	Tnni1	280	57	254	305	359	67	267
chr1	136141439	136142380	Tnnt2	280	57	254	305	359	67	267
chr1	137898253	137898753	4930596I21Rik	66	24	40	31	33	10	19
chr1	137898253	137898753	Dennd1b	66	24	40	31	33	10	19
chr1	137900061	137900927	4930596I21Rik	79	22	46	24	31	18	28
chr1	137900061	137900927	Cfh	79	22	46	24	31	18	28
chr1	137900061	137900927	Dennd1b	79	22	46	24	31	18	28
chr1	137900061	137900927	Ptprc	79	22	46	24	31	18	28
chr1	138963077	138963577	Cfh	97	29	50	46	65	19	43
chr1	14184101	14184601	Eya1	90	26	52	71	87	28	43
chr1	14185303	14186227	Eya1	285	57	140	146	168	47	46
chr1	14236042	14236542	Eya1	30	13	19	17	17	11	36
chr1	14265250	14265750	Eya1	34	10	26	31	25	14	30
chr1	146494216	146494944	Brinp3	129	35	63	72	84	22	8
chr1	146495372	146495872	Brinp3	68	22	55	63	63	27	21
