chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10039541	10040706	1700034P13Rik	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	2610203C22Rik	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	A830018L16Rik	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Arfgef1	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Cops5	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Cspp1	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Mcmdc2	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Mybl1	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Prex2	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Rrs1	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Sgk3	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Snhg6	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Snord87	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Sntg1	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Vcpip1	1854	1605	2045	2138	1809	2606	1209
chr1	10039541	10040706	Vxn	1854	1605	2045	2138	1809	2606	1209
chr1	103420975	103422028	Cdh20	58	54	134	97	150	294	986
chr1	104619735	104620479	Cdh20	90	112	200	220	220	179	28
chr1	104746681	104747181	Cdh20	134	150	140	129	113	128	40
chr1	105245878	105247085	Bcl2	652	392	381	418	297	339	37
chr1	105354749	105355447	Gm17634	167	201	314	285	310	365	232
chr1	105354749	105355447	Gm20753	167	201	314	285	310	365	232
chr1	105354749	105355447	Phlpp1	167	201	314	285	310	365	232
chr1	105354749	105355447	Rnf152	167	201	314	285	310	365	232
chr1	105907906	105909050	Gm17634	113	148	315	269	306	272	401
chr1	105907906	105909050	Gm7160	113	148	315	269	306	272	401
chr1	105907906	105909050	Rnf152	113	148	315	269	306	272	401
chr1	105907906	105909050	Zcchc2	113	148	315	269	306	272	401
chr1	105946544	105949286	Gm7160	384	320	590	483	648	685	1377
chr1	105946544	105949286	Kdsr	384	320	590	483	648	685	1377
chr1	105946544	105949286	Pign	384	320	590	483	648	685	1377
chr1	105946544	105949286	Relch	384	320	590	483	648	685	1377
chr1	105946544	105949286	Zcchc2	384	320	590	483	648	685	1377
chr1	105993773	105994273	Gm7160	798	604	817	747	523	638	434
chr1	105993773	105994273	Zcchc2	798	604	817	747	523	638	434
chr1	106070823	106072483	Cdh20	600	674	1054	1032	875	701	848
chr1	106070823	106072483	Gm20753	600	674	1054	1032	875	701	848
chr1	106070823	106072483	Gm7160	600	674	1054	1032	875	701	848
chr1	106070823	106072483	Phlpp1	600	674	1054	1032	875	701	848
chr1	106070823	106072483	Pign	600	674	1054	1032	875	701	848
chr1	106070823	106072483	Relch	600	674	1054	1032	875	701	848
chr1	106070823	106072483	Zcchc2	600	674	1054	1032	875	701	848
chr1	106148320	106149168	Gm20753	152	146	194	208	152	105	61
chr1	106148320	106149168	Phlpp1	152	146	194	208	152	105	61
chr1	106154557	106155709	Gm17634	86	82	235	244	282	429	351
chr1	106154557	106155709	Gm20753	86	82	235	244	282	429	351
chr1	106154557	106155709	Phlpp1	86	82	235	244	282	429	351
