chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10014419	10014919	Cops5	50	14	37	25	20	8	19
chr1	10014419	10014919	Cspp1	50	14	37	25	20	8	19
chr1	10039512	10040350	Arfgef1	605	111	258	149	221	45	50
chr1	10039512	10040350	Cops5	605	111	258	149	221	45	50
chr1	10039512	10040350	Cspp1	605	111	258	149	221	45	50
chr1	10039512	10040350	Mcmdc2	605	111	258	149	221	45	50
chr1	10039512	10040350	Mybl1	605	111	258	149	221	45	50
chr1	10039512	10040350	Prex2	605	111	258	149	221	45	50
chr1	10039512	10040350	Rrs1	605	111	258	149	221	45	50
chr1	10039512	10040350	Sgk3	605	111	258	149	221	45	50
chr1	10039512	10040350	Snhg6	605	111	258	149	221	45	50
chr1	10039512	10040350	Sntg1	605	111	258	149	221	45	50
chr1	10039512	10040350	St18	605	111	258	149	221	45	50
chr1	10039512	10040350	Vcpip1	605	111	258	149	221	45	50
chr1	10039512	10040350	Vxn	605	111	258	149	221	45	50
chr1	105245897	105247112	Bcl2	182	93	112	115	136	37	5
chr1	105245897	105247112	Pign	182	93	112	115	136	37	5
chr1	105245897	105247112	Relch	182	93	112	115	136	37	5
chr1	105245897	105247112	Rnf152	182	93	112	115	136	37	5
chr1	105354736	105355445	Rnf152	94	8	31	46	119	47	18
chr1	105842716	105845165	Bcl2	194	63	124	99	180	101	20
chr1	105842716	105845165	Rnf152	194	63	124	99	180	101	20
chr1	105842716	105845165	Vps4b	194	63	124	99	180	101	20
chr1	105907878	105909050	Rnf152	78	18	62	57	94	30	30
chr1	105993775	105994275	Gm7160	235	19	22	19	35	17	31
chr1	105993775	105994275	Zcchc2	235	19	22	19	35	17	31
chr1	106036769	106037638	Gm7160	48	10	28	16	28	8	8
chr1	106036769	106037638	Zcchc2	48	10	28	16	28	8	8
chr1	106071166	106072483	Gm7160	110	36	75	102	116	22	27
chr1	106071166	106072483	Phlpp1	110	36	75	102	116	22	27
chr1	106071166	106072483	Pign	110	36	75	102	116	22	27
chr1	106071166	106072483	Relch	110	36	75	102	116	22	27
chr1	106071166	106072483	Zcchc2	110	36	75	102	116	22	27
chr1	106148369	106149183	Phlpp1	87	46	72	49	65	15	3
chr1	106154906	106155648	Phlpp1	39	8	31	37	67	12	41
chr1	106185367	106186524	Phlpp1	95	22	65	62	58	19	20
chr1	106199581	106200442	Bcl2	388	150	271	169	212	48	56
chr1	106199581	106200442	Kdsr	388	150	271	169	212	48	56
chr1	106199581	106200442	Phlpp1	388	150	271	169	212	48	56
chr1	106199581	106200442	Pign	388	150	271	169	212	48	56
chr1	106199581	106200442	Relch	388	150	271	169	212	48	56
chr1	106199581	106200442	Rnf152	388	150	271	169	212	48	56
chr1	106199581	106200442	Vps4b	388	150	271	169	212	48	56
chr1	106201869	106202369	Phlpp1	92	18	43	51	53	11	11
chr1	106389229	106390142	Bcl2	42	11	48	43	55	11	11
chr1	106394700	106396303	Rnf152	103	42	64	68	70	26	28
chr1	106394700	106396303	Vps4b	103	42	64	68	70	26	28
chr1	106628658	106630738	Bcl2	356	84	163	125	207	53	79
chr1	106628658	106630738	Gm7160	356	84	163	125	207	53	79
chr1	106628658	106630738	Kdsr	356	84	163	125	207	53	79
chr1	106628658	106630738	Pign	356	84	163	125	207	53	79
chr1	106628658	106630738	Relch	356	84	163	125	207	53	79
chr1	106628658	106630738	Vps4b	356	84	163	125	207	53	79
chr1	106628658	106630738	Zcchc2	356	84	163	125	207	53	79
chr1	106702659	106703610	Bcl2	60	34	94	83	125	24	9
chr1	106702659	106703610	Kdsr	60	34	94	83	125	24	9
chr1	106702659	106703610	Rnf152	60	34	94	83	125	24	9
chr1	106702659	106703610	Vps4b	60	34	94	83	125	24	9
chr1	108181308	108182554	Vps4b	59	48	128	103	182	34	18
chr1	10990860	10991360	Prex2	23	7	14	10	28	5	10
chr1	109971629	109972572	Cdh7	65	35	56	51	64	10	7
chr1	109972573	109973073	Cdh7	49	14	23	24	23	5	1
chr1	109985392	109985892	Cdh7	31	7	13	15	14	2	7
chr1	11033100	11033923	Prex2	59	15	33	24	51	18	28
chr1	11044821	11046748	Prex2	116	31	68	71	198	44	51
chr1	111857880	111858380	Dsel	20	10	14	20	36	7	1
chr1	112416275	112417577	Dsel	91	18	34	27	61	17	17
chr1	118388018	118388518	2900060B14Rik	187	29	45	34	74	20	24
chr1	118388018	118388518	Clasp1	187	29	45	34	74	20	24
chr1	118388018	118388518	Tsn	187	29	45	34	74	20	24
chr1	118389920	118390420	2900060B14Rik	482	90	173	162	245	49	28
chr1	118389920	118390420	Clasp1	482	90	173	162	245	49	28
chr1	118389920	118390420	Nifk	482	90	173	162	245	49	28
chr1	118389920	118390420	Tsn	482	90	173	162	245	49	28
chr1	118434611	118435649	2900060B14Rik	80	52	171	240	398	109	30
chr1	118434611	118435649	Clasp1	80	52	171	240	398	109	30
chr1	118434611	118435649	Nifk	80	52	171	240	398	109	30
chr1	118434611	118435649	Ralb	80	52	171	240	398	109	30
chr1	118434611	118435649	Tsn	80	52	171	240	398	109	30
chr1	118452574	118453074	2900060B14Rik	29	12	18	17	16	10	5
chr1	118476834	118477334	2900060B14Rik	25	11	33	29	22	11	9
chr1	118480418	118481220	2900060B14Rik	30	20	66	55	74	16	4
chr1	118480418	118481220	Nifk	30	20	66	55	74	16	4
chr1	118481269	118481769	2900060B14Rik	46	31	78	85	98	23	36
chr1	118481269	118481769	Nifk	46	31	78	85	98	23	36
chr1	118776549	118777537	Epb41l5	269	85	228	203	268	50	9
chr1	118776549	118777537	Gli2	269	85	228	203	268	50	9
chr1	118776549	118777537	Inhbb	269	85	228	203	268	50	9
chr1	118776549	118777537	Nifk	269	85	228	203	268	50	9
chr1	118776549	118777537	Ralb	269	85	228	203	268	50	9
chr1	118776549	118777537	Tmem185b	269	85	228	203	268	50	9
chr1	118776549	118777537	Tsn	269	85	228	203	268	50	9
chr1	118910577	118911545	Gli2	272	147	293	214	292	24	28
chr1	118910577	118911545	Inhbb	272	147	293	214	292	24	28
chr1	118910577	118911545	Nifk	272	147	293	214	292	24	28
chr1	118910577	118911545	Ralb	272	147	293	214	292	24	28
chr1	118910577	118911545	Tmem177	272	147	293	214	292	24	28
chr1	118910577	118911545	Tmem185b	272	147	293	214	292	24	28
chr1	118981747	118983354	2900060B14Rik	475	152	410	376	471	53	31
chr1	118981747	118983354	Clasp1	475	152	410	376	471	53	31
chr1	118981747	118983354	Epb41l5	475	152	410	376	471	53	31
chr1	118981747	118983354	Gli2	475	152	410	376	471	53	31
chr1	118981747	118983354	Inhbb	475	152	410	376	471	53	31
chr1	118981747	118983354	Nifk	475	152	410	376	471	53	31
chr1	118981747	118983354	Ptpn4	475	152	410	376	471	53	31
chr1	118981747	118983354	Ralb	475	152	410	376	471	53	31
chr1	118981747	118983354	Tmem177	475	152	410	376	471	53	31
chr1	118981747	118983354	Tmem185b	475	152	410	376	471	53	31
chr1	118981747	118983354	Tmem37	475	152	410	376	471	53	31
chr1	118981747	118983354	Tsn	475	152	410	376	471	53	31
chr1	119033040	119034266	Epb41l5	633	165	371	318	374	47	61
chr1	119033040	119034266	Gli2	633	165	371	318	374	47	61
chr1	119033040	119034266	Nifk	633	165	371	318	374	47	61
chr1	119033040	119034266	Ptpn4	633	165	371	318	374	47	61
chr1	119033040	119034266	Ralb	633	165	371	318	374	47	61
chr1	119033040	119034266	Tmem177	633	165	371	318	374	47	61
chr1	119033040	119034266	Tmem185b	633	165	371	318	374	47	61
chr1	119033040	119034266	Tmem37	633	165	371	318	374	47	61
chr1	119033040	119034266	Tsn	633	165	371	318	374	47	61
chr1	119047365	119048935	2900060B14Rik	1458	340	704	422	527	67	71
chr1	119047365	119048935	Clasp1	1458	340	704	422	527	67	71
chr1	119047365	119048935	Epb41l5	1458	340	704	422	527	67	71
chr1	119047365	119048935	Gli2	1458	340	704	422	527	67	71
chr1	119047365	119048935	Inhbb	1458	340	704	422	527	67	71
chr1	119047365	119048935	Nifk	1458	340	704	422	527	67	71
chr1	119047365	119048935	Ptpn4	1458	340	704	422	527	67	71
chr1	119047365	119048935	Ralb	1458	340	704	422	527	67	71
chr1	119047365	119048935	Tmem177	1458	340	704	422	527	67	71
chr1	119047365	119048935	Tmem185b	1458	340	704	422	527	67	71
chr1	119047365	119048935	Tmem37	1458	340	704	422	527	67	71
chr1	119047365	119048935	Tsn	1458	340	704	422	527	67	71
chr1	119082305	119084061	2900060B14Rik	211	25	90	62	103	26	10
chr1	119082305	119084061	Gli2	211	25	90	62	103	26	10
chr1	119082305	119084061	Ralb	211	25	90	62	103	26	10
chr1	119082305	119084061	Tmem37	211	25	90	62	103	26	10
chr1	119328835	119330095	2900060B14Rik	266	112	328	443	537	69	49
chr1	119328835	119330095	3110009E18Rik	266	112	328	443	537	69	49
chr1	119328835	119330095	Clasp1	266	112	328	443	537	69	49
chr1	119328835	119330095	Dbi	266	112	328	443	537	69	49
chr1	119328835	119330095	Epb41l5	266	112	328	443	537	69	49
chr1	119328835	119330095	Gli2	266	112	328	443	537	69	49
chr1	119328835	119330095	Inhbb	266	112	328	443	537	69	49
chr1	119328835	119330095	Insig2	266	112	328	443	537	69	49
chr1	119328835	119330095	Nifk	266	112	328	443	537	69	49
chr1	119328835	119330095	Ptpn4	266	112	328	443	537	69	49
chr1	119328835	119330095	Ralb	266	112	328	443	537	69	49
chr1	119328835	119330095	Tmem177	266	112	328	443	537	69	49
chr1	119328835	119330095	Tmem185b	266	112	328	443	537	69	49
chr1	119328835	119330095	Tmem37	266	112	328	443	537	69	49
chr1	119328835	119330095	Tsn	266	112	328	443	537	69	49
chr1	119388561	119389937	Epb41l5	343	42	117	178	224	51	22
chr1	119388561	119389937	Inhbb	343	42	117	178	224	51	22
chr1	119388561	119389937	Ptpn4	343	42	117	178	224	51	22
chr1	119388561	119389937	Ralb	343	42	117	178	224	51	22
chr1	119388561	119389937	Tmem185b	343	42	117	178	224	51	22
chr1	119407597	119408323	Inhbb	70	20	75	45	49	14	4
chr1	119407597	119408323	Ralb	70	20	75	45	49	14	4
chr1	119409530	119410397	Inhbb	95	17	28	36	37	6	3
chr1	119423475	119423975	Inhbb	24	7	16	14	24	5	4
chr1	119457123	119458906	Inhbb	81	22	83	80	136	23	38
chr1	119457123	119458906	Ralb	81	22	83	80	136	23	38
chr1	119457123	119458906	Tmem185b	81	22	83	80	136	23	38
chr1	119471919	119472652	Ralb	56	18	45	63	100	18	8
chr1	119491996	119492496	Ralb	49	8	26	20	21	8	22
chr1	119532130	119532630	Tmem185b	27	5	11	8	16	4	0
chr1	119533085	119534106	Ralb	72	13	58	79	89	16	16
chr1	119533085	119534106	Tmem185b	72	13	58	79	89	16	16
chr1	119641972	119642769	Epb41l5	72	19	36	19	31	8	7
chr1	119837841	119838341	Ptpn4	84	13	28	25	70	13	8
chr1	119837841	119838341	Tmem177	84	13	28	25	70	13	8
chr1	119899346	119900471	Epb41l5	112	19	93	184	428	82	19
chr1	119899346	119900471	Inhbb	112	19	93	184	428	82	19
chr1	119899346	119900471	Ptpn4	112	19	93	184	428	82	19
chr1	119899346	119900471	Ralb	112	19	93	184	428	82	19
chr1	119899346	119900471	Tmem177	112	19	93	184	428	82	19
chr1	119899346	119900471	Tmem185b	112	19	93	184	428	82	19
chr1	119899346	119900471	Tmem37	112	19	93	184	428	82	19
chr1	119902450	119902950	Epb41l5	57	16	59	82	158	22	7
chr1	119902450	119902950	Ptpn4	57	16	59	82	158	22	7
