chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10014427	10014927	Cops5	77	18	58	68	49	18	45
chr1	10014427	10014927	Cspp1	77	18	58	68	49	18	45
chr1	10039518	10040719	Arfgef1	246	49	128	157	157	39	38
chr1	10039518	10040719	Atp6v1h	246	49	128	157	157	39	38
chr1	10039518	10040719	Cops5	246	49	128	157	157	39	38
chr1	10039518	10040719	Cspp1	246	49	128	157	157	39	38
chr1	10039518	10040719	Mcmdc2	246	49	128	157	157	39	38
chr1	10039518	10040719	Mybl1	246	49	128	157	157	39	38
chr1	10039518	10040719	Prex2	246	49	128	157	157	39	38
chr1	10039518	10040719	Rrs1	246	49	128	157	157	39	38
chr1	10039518	10040719	Sgk3	246	49	128	157	157	39	38
chr1	10039518	10040719	Snhg6	246	49	128	157	157	39	38
chr1	10039518	10040719	Sntg1	246	49	128	157	157	39	38
chr1	10039518	10040719	St18	246	49	128	157	157	39	38
chr1	10039518	10040719	Sulf1	246	49	128	157	157	39	38
chr1	10039518	10040719	Vcpip1	246	49	128	157	157	39	38
chr1	10039518	10040719	Vxn	246	49	128	157	157	39	38
chr1	10231420	10231920	Arfgef1	134	29	104	101	115	32	31
chr1	10233408	10233908	Arfgef1	58	24	62	56	74	18	15
chr1	105178814	105179773	Pign	379	64	194	203	183	61	45
chr1	105178814	105179773	Relch	379	64	194	203	183	61	45
chr1	105245619	105246745	Bcl2	267	78	171	151	172	54	6
chr1	105245619	105246745	Pign	267	78	171	151	172	54	6
chr1	105245619	105246745	Relch	267	78	171	151	172	54	6
chr1	105842926	105845122	Bcl2	708	147	347	323	383	119	138
chr1	105842926	105845122	Pign	708	147	347	323	383	119	138
chr1	105842926	105845122	Relch	708	147	347	323	383	119	138
chr1	105842926	105845122	Vps4b	708	147	347	323	383	119	138
chr1	105880522	105881460	Gm7160	223	58	111	100	120	33	33
chr1	105880522	105881460	Zcchc2	223	58	111	100	120	33	33
chr1	105993775	105994275	Bcl2	84	22	49	26	55	18	11
chr1	105993775	105994275	Gm7160	84	22	49	26	55	18	11
chr1	105993775	105994275	Kdsr	84	22	49	26	55	18	11
chr1	105993775	105994275	Pign	84	22	49	26	55	18	11
chr1	105993775	105994275	Relch	84	22	49	26	55	18	11
chr1	105993775	105994275	Zcchc2	84	22	49	26	55	18	11
chr1	106036789	106037468	Gm7160	63	21	68	44	75	19	55
chr1	106036789	106037468	Zcchc2	63	21	68	44	75	19	55
chr1	106070837	106072506	Gm7160	362	102	264	233	263	75	113
chr1	106070837	106072506	Phlpp1	362	102	264	233	263	75	113
chr1	106070837	106072506	Pign	362	102	264	233	263	75	113
chr1	106070837	106072506	Relch	362	102	264	233	263	75	113
chr1	106070837	106072506	Zcchc2	362	102	264	233	263	75	113
chr1	106131997	106132758	Kdsr	128	37	98	99	77	30	35
chr1	106148349	106149191	Phlpp1	189	55	148	112	127	58	25
chr1	106148349	106149191	Pign	189	55	148	112	127	58	25
chr1	106148349	106149191	Relch	189	55	148	112	127	58	25
chr1	106199234	106200661	Bcl2	544	106	327	338	321	82	150
chr1	106199234	106200661	Gm7160	544	106	327	338	321	82	150
chr1	106199234	106200661	Kdsr	544	106	327	338	321	82	150
chr1	106199234	106200661	Phlpp1	544	106	327	338	321	82	150
chr1	106199234	106200661	Pign	544	106	327	338	321	82	150
chr1	106199234	106200661	Relch	544	106	327	338	321	82	150
chr1	106199234	106200661	Vps4b	544	106	327	338	321	82	150
chr1	106199234	106200661	Zcchc2	544	106	327	338	321	82	150
chr1	106702667	106703626	Bcl2	193	54	139	179	191	57	55
chr1	106702667	106703626	Kdsr	193	54	139	179	191	57	55
chr1	106702667	106703626	Vps4b	193	54	139	179	191	57	55
chr1	10757053	10757668	Prex2	26	11	40	34	48	16	3
chr1	108023137	108024430	Pign	217	68	115	124	72	27	10
chr1	108023137	108024430	Relch	217	68	115	124	72	27	10
chr1	108181319	108182864	Vps4b	90	51	152	226	274	111	92
chr1	109971676	109972557	Cdh7	185	43	84	100	85	23	7
chr1	109972576	109973076	Cdh7	95	16	45	60	50	15	0
chr1	109985401	109985901	Cdh7	57	21	50	28	41	12	18
chr1	11033436	11033936	Prex2	46	28	40	46	48	16	48
chr1	11065084	11065851	Prex2	72	26	42	39	41	16	40
chr1	111699014	111699859	Dsel	209	35	111	83	100	43	13
chr1	111863906	111864406	Dsel	49	11	35	31	47	18	25
chr1	112416282	112417570	Dsel	183	34	109	87	105	38	48
chr1	11329382	11330725	Prex2	326	68	185	163	178	78	50
chr1	118322344	118322844	Nifk	112	35	121	98	146	29	50
chr1	118322344	118322844	Tsn	112	35	121	98	146	29	50
chr1	118434621	118435641	2900060B14Rik	139	36	145	188	203	74	81
chr1	118434621	118435641	Clasp1	139	36	145	188	203	74	81
chr1	118434621	118435641	Nifk	139	36	145	188	203	74	81
chr1	118434621	118435641	Ralb	139	36	145	188	203	74	81
chr1	118434621	118435641	Tsn	139	36	145	188	203	74	81
chr1	118480434	118481218	2900060B14Rik	129	40	71	90	115	38	19
chr1	118481261	118481761	2900060B14Rik	114	34	103	112	123	29	78
chr1	118481261	118481761	Nifk	114	34	103	112	123	29	78
chr1	118776526	118777513	Epb41l5	322	65	205	201	217	62	59
chr1	118776526	118777513	Gli2	322	65	205	201	217	62	59
chr1	118776526	118777513	Nifk	322	65	205	201	217	62	59
chr1	118776526	118777513	Ralb	322	65	205	201	217	62	59
chr1	118776526	118777513	Steap3	322	65	205	201	217	62	59
chr1	118776526	118777513	Tmem185b	322	65	205	201	217	62	59
chr1	118776526	118777513	Tsn	322	65	205	201	217	62	59
chr1	118910630	118911741	2900060B14Rik	488	117	290	289	253	67	42
chr1	118910630	118911741	Epb41l5	488	117	290	289	253	67	42
chr1	118910630	118911741	Gli2	488	117	290	289	253	67	42
chr1	118910630	118911741	Nifk	488	117	290	289	253	67	42
chr1	118910630	118911741	Ptpn4	488	117	290	289	253	67	42
chr1	118910630	118911741	Ralb	488	117	290	289	253	67	42
chr1	118910630	118911741	Steap3	488	117	290	289	253	67	42
chr1	118910630	118911741	Tmem177	488	117	290	289	253	67	42
chr1	118910630	118911741	Tmem185b	488	117	290	289	253	67	42
chr1	118910630	118911741	Tmem37	488	117	290	289	253	67	42
chr1	118910630	118911741	Tsn	488	117	290	289	253	67	42
chr1	118912908	118913484	Gli2	277	80	148	156	156	29	45
chr1	118981970	118983371	2900060B14Rik	1060	158	485	435	394	99	94
chr1	118981970	118983371	Clasp1	1060	158	485	435	394	99	94
chr1	118981970	118983371	Epb41l5	1060	158	485	435	394	99	94
chr1	118981970	118983371	Gli2	1060	158	485	435	394	99	94
chr1	118981970	118983371	Nifk	1060	158	485	435	394	99	94
chr1	118981970	118983371	Ptpn4	1060	158	485	435	394	99	94
chr1	118981970	118983371	Ralb	1060	158	485	435	394	99	94
chr1	118981970	118983371	Steap3	1060	158	485	435	394	99	94
chr1	118981970	118983371	Tmem177	1060	158	485	435	394	99	94
chr1	118981970	118983371	Tmem185b	1060	158	485	435	394	99	94
chr1	118981970	118983371	Tmem37	1060	158	485	435	394	99	94
chr1	118981970	118983371	Tsn	1060	158	485	435	394	99	94
chr1	119033211	119033711	Gli2	362	55	179	163	118	15	57
chr1	119033785	119034285	Epb41l5	378	67	159	146	102	29	66
chr1	119033785	119034285	Gli2	378	67	159	146	102	29	66
chr1	119033785	119034285	Nifk	378	67	159	146	102	29	66
chr1	119033785	119034285	Ralb	378	67	159	146	102	29	66
chr1	119033785	119034285	Tmem177	378	67	159	146	102	29	66
chr1	119033785	119034285	Tmem185b	378	67	159	146	102	29	66
chr1	119033785	119034285	Tmem37	378	67	159	146	102	29	66
chr1	119033785	119034285	Tsn	378	67	159	146	102	29	66
chr1	119047338	119048939	2900060B14Rik	670	102	329	272	307	55	84
chr1	119047338	119048939	3110009E18Rik	670	102	329	272	307	55	84
chr1	119047338	119048939	Clasp1	670	102	329	272	307	55	84
chr1	119047338	119048939	Dbi	670	102	329	272	307	55	84
chr1	119047338	119048939	Epb41l5	670	102	329	272	307	55	84
chr1	119047338	119048939	Gli2	670	102	329	272	307	55	84
chr1	119047338	119048939	Nifk	670	102	329	272	307	55	84
chr1	119047338	119048939	Ptpn4	670	102	329	272	307	55	84
chr1	119047338	119048939	Ralb	670	102	329	272	307	55	84
chr1	119047338	119048939	Steap3	670	102	329	272	307	55	84
chr1	119047338	119048939	Tmem177	670	102	329	272	307	55	84
chr1	119047338	119048939	Tmem185b	670	102	329	272	307	55	84
chr1	119047338	119048939	Tmem37	670	102	329	272	307	55	84
chr1	119047338	119048939	Tsn	670	102	329	272	307	55	84
chr1	119328843	119330085	2900060B14Rik	587	123	295	211	221	56	51
chr1	119328843	119330085	Epb41l5	587	123	295	211	221	56	51
