chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10039495	10040392	1700034P13Rik	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	A830018L16Rik	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Adhfe1	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Arfgef1	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Cops5	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Cspp1	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Rrs1	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Sgk3	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Snhg6	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Sntg1	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Vcpip1	1779	1519	1976	2076	1724	2525	1146
chr1	10039495	10040392	Vxn	1779	1519	1976	2076	1724	2525	1146
chr1	105354930	105355430	Gm17634	131	170	260	225	250	318	191
chr1	105354930	105355430	Phlpp1	131	170	260	225	250	318	191
chr1	105354930	105355430	Rnf152	131	170	260	225	250	318	191
chr1	105842689	105843715	Gm17634	243	201	401	271	329	660	123
chr1	105842689	105843715	Rnf152	243	201	401	271	329	660	123
chr1	105907922	105909064	Gm17634	112	147	313	267	305	273	399
chr1	105907922	105909064	Rnf152	112	147	313	267	305	273	399
chr1	106071180	106072492	Phlpp1	510	581	963	921	768	635	811
chr1	106096281	106097219	Phlpp1	126	119	177	148	136	615	155
chr1	106154894	106155716	Phlpp1	56	60	193	194	221	380	290
chr1	106199616	106200116	Phlpp1	677	513	609	595	418	375	220
chr1	106201874	106202374	Phlpp1	120	111	225	191	203	180	48
chr1	106584756	106585620	Kdsr	61	49	96	105	134	427	77
chr1	106584756	106585620	Vps4b	61	49	96	105	134	427	77
chr1	106628668	106630505	Bcl2	447	342	541	611	502	417	1160
chr1	106690822	106691731	Bcl2	53	52	214	220	248	469	397
chr1	106690822	106691731	Phlpp1	53	52	214	220	248	469	397
chr1	106702646	106703580	Bcl2	208	262	479	572	402	390	64
chr1	106702646	106703580	Kdsr	208	262	479	572	402	390	64
chr1	106706899	106707615	Bcl2	78	91	117	135	90	203	359
chr1	106706899	106707615	Kdsr	78	91	117	135	90	203	359
chr1	109972071	109972854	Cdh7	503	355	520	483	337	104	46
chr1	109985393	109985893	Cdh7	258	186	161	141	130	128	149
chr1	111833752	111834252	Dsel	27	47	119	96	193	384	570
chr1	111857787	111858287	Dsel	41	52	129	113	91	90	107
chr1	112416240	112417581	Dsel	737	649	1021	804	1052	926	2093
chr1	11657301	11658669	A830018L16Rik	352	305	416	305	298	333	305
chr1	118337866	118338670	Nifk	65	46	59	56	74	447	443
chr1	118337866	118338670	Tsn	65	46	59	56	74	447	443
chr1	118388032	118388532	2900060B14Rik	197	205	265	302	218	312	119
chr1	118388032	118388532	Clasp1	197	205	265	302	218	312	119
chr1	118434576	118436308	2900060B14Rik	211	348	532	587	593	929	245
chr1	118434576	118436308	Clasp1	211	348	532	587	593	929	245
chr1	118434576	118436308	Nifk	211	348	532	587	593	929	245
chr1	118434576	118436308	Ralb	211	348	532	587	593	929	245
chr1	118434576	118436308	Steap3	211	348	532	587	593	929	245
chr1	118434576	118436308	Tmem177	211	348	532	587	593	929	245
chr1	118434576	118436308	Tmem185b	211	348	532	587	593	929	245
chr1	118434576	118436308	Tmem37	211	348	532	587	593	929	245
chr1	118434576	118436308	Tsn	211	348	532	587	593	929	245
chr1	118457244	118457972	2900060B14Rik	157	184	246	206	260	540	1657
chr1	118457244	118457972	Clasp1	157	184	246	206	260	540	1657
chr1	118457244	118457972	Nifk	157	184	246	206	260	540	1657
chr1	118457244	118457972	Tsn	157	184	246	206	260	540	1657
chr1	118476591	118477333	2900060B14Rik	131	123	167	165	140	251	285
chr1	119033272	119034781	Epb41l5	679	525	851	850	802	949	222
chr1	119033272	119034781	Ralb	679	525	851	850	802	949	222
chr1	119033272	119034781	Tmem177	679	525	851	850	802	949	222
chr1	119033272	119034781	Tmem185b	679	525	851	850	802	949	222
chr1	119033272	119034781	Tmem37	679	525	851	850	802	949	222
chr1	119033272	119034781	Tsn	679	525	851	850	802	949	222
chr1	119189530	119190030	Tmem37	65	79	277	280	289	560	724
chr1	119328864	119330049	Epb41l5	950	889	1659	1824	1313	861	56
chr1	119328864	119330049	Inhbb	950	889	1659	1824	1313	861	56
chr1	119328864	119330049	Ralb	950	889	1659	1824	1313	861	56
chr1	119328864	119330049	Steap3	950	889	1659	1824	1313	861	56
chr1	119328864	119330049	Tmem177	950	889	1659	1824	1313	861	56
chr1	119328864	119330049	Tmem185b	950	889	1659	1824	1313	861	56
chr1	119328864	119330049	Tmem37	950	889	1659	1824	1313	861	56
chr1	119388608	119389108	Inhbb	657	634	816	873	596	436	169
chr1	119416640	119417140	Inhbb	54	60	112	86	106	162	43
chr1	119419722	119420688	Inhbb	235	211	415	464	380	467	133
chr1	119419722	119420688	Ralb	235	211	415	464	380	467	133
chr1	119419722	119420688	Tmem185b	235	211	415	464	380	467	133
chr1	119423498	119423998	Inhbb	131	120	213	189	165	161	65
chr1	119471735	119472472	Ralb	74	96	152	148	160	266	57
chr1	119471735	119472472	Tmem185b	74	96	152	148	160	266	57
chr1	119472499	119473409	Ralb	65	63	98	91	96	136	44
chr1	119487806	119488306	Ralb	57	54	73	55	48	106	21
chr1	119533067	119533840	Tmem185b	82	120	227	198	183	231	37
chr1	119642326	119642826	Epb41l5	116	106	110	128	81	66	17
chr1	119863497	119864344	Ptpn4	32	25	71	46	84	203	389
chr1	119863497	119864344	Tmem177	32	25	71	46	84	203	389
chr1	119878842	119879342	Ptpn4	9	10	151	115	189	313	317
chr1	119878842	119879342	Tmem177	9	10	151	115	189	313	317
chr1	119884197	119884950	Tmem177	40	29	144	181	194	323	143
chr1	119899333	119900507	3110009E18Rik	261	322	901	1023	978	1367	75
chr1	119899333	119900507	C1ql2	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Dbi	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Epb41l5	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Inhbb	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Nifk	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Ptpn4	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Ralb	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Steap3	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Tmem177	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Tmem185b	261	322	901	1023	978	1367	75
chr1	119899333	119900507	Tmem37	261	322	901	1023	978	1367	75
chr1	119902441	119902941	Epb41l5	147	219	447	493	400	466	95
chr1	119902441	119902941	Ptpn4	147	219	447	493	400	466	95
chr1	119902441	119902941	Tmem177	147	219	447	493	400	466	95
chr1	119907180	119907680	Tmem177	30	22	70	56	81	113	38
chr1	120115480	120116217	3110009E18Rik	227	248	805	1004	752	1373	35
chr1	120115480	120116217	C1ql2	227	248	805	1004	752	1373	35
chr1	120115480	120116217	Dbi	227	248	805	1004	752	1373	35
chr1	120115480	120116217	Epb41l5	227	248	805	1004	752	1373	35
chr1	120115480	120116217	Ptpn4	227	248	805	1004	752	1373	35
chr1	120115480	120116217	Steap3	227	248	805	1004	752	1373	35
chr1	120115480	120116217	Tmem177	227	248	805	1004	752	1373	35
chr1	120115480	120116217	Tmem37	227	248	805	1004	752	1373	35
chr1	120138561	120139556	3110009E18Rik	158	140	228	200	158	172	31
chr1	120138561	120139556	Dbi	158	140	228	200	158	172	31
chr1	120138561	120139556	Steap3	158	140	228	200	158	172	31
chr1	120245650	120246150	C1ql2	46	44	131	148	134	278	44
chr1	120245650	120246150	Steap3	46	44	131	148	134	278	44
chr1	120264735	120265634	C1ql2	396	406	541	386	466	545	132
chr1	120264735	120265634	Steap3	396	406	541	386	466	545	132
chr1	120342072	120342820	C1ql2	191	141	183	156	178	175	87
chr1	120357217	120357935	C1ql2	171	174	183	227	113	175	28
chr1	121314952	121315452	C1ql2	33	61	389	247	491	1474	310
chr1	121314952	121315452	Insig2	33	61	389	247	491	1474	310
chr1	121314952	121315452	Steap3	33	61	389	247	491	1474	310
chr1	121314952	121315452	Tmem37	33	61	389	247	491	1474	310
chr1	12409911	12410936	Sulf1	336	427	830	760	746	381	31
chr1	12689466	12689966	Sulf1	284	217	185	194	171	174	23
chr1	12717758	12718495	Sulf1	134	109	139	123	124	146	389
