chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10039495	10040392	1700034P13Rik	144	25	84	84	85	23	31
chr1	10039495	10040392	A830018L16Rik	144	25	84	84	85	23	31
chr1	10039495	10040392	Adhfe1	144	25	84	84	85	23	31
chr1	10039495	10040392	Arfgef1	144	25	84	84	85	23	31
chr1	10039495	10040392	Cops5	144	25	84	84	85	23	31
chr1	10039495	10040392	Cspp1	144	25	84	84	85	23	31
chr1	10039495	10040392	Rrs1	144	25	84	84	85	23	31
chr1	10039495	10040392	Sgk3	144	25	84	84	85	23	31
chr1	10039495	10040392	Snhg6	144	25	84	84	85	23	31
chr1	10039495	10040392	Sntg1	144	25	84	84	85	23	31
chr1	10039495	10040392	Vcpip1	144	25	84	84	85	23	31
chr1	10039495	10040392	Vxn	144	25	84	84	85	23	31
chr1	105354930	105355430	Gm17634	121	29	65	58	68	25	46
chr1	105354930	105355430	Phlpp1	121	29	65	58	68	25	46
chr1	105354930	105355430	Rnf152	121	29	65	58	68	25	46
chr1	105842689	105843715	Gm17634	188	48	116	112	120	34	34
chr1	105842689	105843715	Rnf152	188	48	116	112	120	34	34
chr1	105907922	105909064	Gm17634	168	43	120	152	207	86	157
chr1	105907922	105909064	Rnf152	168	43	120	152	207	86	157
chr1	106071180	106072492	Phlpp1	303	87	223	195	221	60	99
chr1	106096281	106097219	Phlpp1	177	53	118	102	129	64	51
chr1	106154894	106155716	Phlpp1	109	28	76	100	121	30	56
chr1	106199616	106200116	Phlpp1	141	28	74	89	99	25	67
chr1	106201874	106202374	Phlpp1	170	48	116	131	101	31	61
chr1	106584756	106585620	Kdsr	183	34	99	102	105	32	52
chr1	106584756	106585620	Vps4b	183	34	99	102	105	32	52
chr1	106628668	106630505	Bcl2	790	128	360	353	289	86	191
chr1	106690822	106691731	Bcl2	48	21	56	87	130	40	32
chr1	106690822	106691731	Phlpp1	48	21	56	87	130	40	32
chr1	106702646	106703580	Bcl2	192	50	135	170	191	54	53
chr1	106702646	106703580	Kdsr	192	50	135	170	191	54	53
chr1	106706899	106707615	Bcl2	65	28	68	75	117	39	42
chr1	106706899	106707615	Kdsr	65	28	68	75	117	39	42
