chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10039516	10040365	1700034P13Rik	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Arfgef1	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Cops5	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Cspp1	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Mcmdc2	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Mybl1	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Prex2	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Rrs1	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Sgk3	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Snhg6	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Sntg1	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	St18	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Sulf1	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Vcpip1	1756	1502	1948	2054	1697	2502	1133
chr1	10039516	10040365	Vxn	1756	1502	1948	2054	1697	2502	1133
chr1	105245947	105247098	Bcl2	641	382	374	411	292	337	32
chr1	105245947	105247098	Pign	641	382	374	411	292	337	32
chr1	105245947	105247098	Relch	641	382	374	411	292	337	32
chr1	105245947	105247098	Rnf152	641	382	374	411	292	337	32
chr1	105354730	105355434	Rnf152	168	203	321	281	316	360	227
chr1	105842681	105844935	Bcl2	734	700	1009	797	891	1458	469
chr1	105842681	105844935	Rnf152	734	700	1009	797	891	1458	469
chr1	105907996	105909040	Gm7160	108	140	309	255	291	264	391
chr1	105907996	105909040	Rnf152	108	140	309	255	291	264	391
chr1	10596358	10597189	Prex2	57	81	227	188	162	380	454
chr1	105993503	105994271	Bcl2	1026	778	1045	989	667	757	467
chr1	105993503	105994271	Gm7160	1026	778	1045	989	667	757	467
chr1	105993503	105994271	Kdsr	1026	778	1045	989	667	757	467
chr1	105993503	105994271	Phlpp1	1026	778	1045	989	667	757	467
chr1	105993503	105994271	Pign	1026	778	1045	989	667	757	467
chr1	105993503	105994271	Relch	1026	778	1045	989	667	757	467
chr1	106036785	106037676	Gm7160	254	292	420	309	337	280	413
chr1	106070818	106072498	Gm7160	600	678	1062	1038	878	704	850
chr1	106070818	106072498	Phlpp1	600	678	1062	1038	878	704	850
chr1	106070818	106072498	Pign	600	678	1062	1038	878	704	850
chr1	106070818	106072498	Relch	600	678	1062	1038	878	704	850
chr1	106148061	106149513	Phlpp1	202	228	276	292	227	141	89
chr1	106148061	106149513	Pign	202	228	276	292	227	141	89
chr1	106148061	106149513	Relch	202	228	276	292	227	141	89
chr1	106154521	106155694	Phlpp1	85	82	235	246	280	430	353
chr1	106154521	106155694	Rnf152	85	82	235	246	280	430	353
chr1	106185370	106186527	Phlpp1	237	217	190	226	177	80	70
chr1	106199614	106200433	Kdsr	855	640	746	738	523	440	270
chr1	106199614	106200433	Phlpp1	855	640	746	738	523	440	270
chr1	106199614	106200433	Pign	855	640	746	738	523	440	270
chr1	106199614	106200433	Relch	855	640	746	738	523	440	270
chr1	106199614	106200433	Vps4b	855	640	746	738	523	440	270
chr1	106201860	106202360	Phlpp1	114	107	221	189	198	180	47
chr1	106602438	106603783	Bcl2	120	212	340	458	372	454	73
chr1	106602438	106603783	Gm7160	120	212	340	458	372	454	73
chr1	106602438	106603783	Phlpp1	120	212	340	458	372	454	73
chr1	106602438	106603783	Pign	120	212	340	458	372	454	73
chr1	106602438	106603783	Relch	120	212	340	458	372	454	73
chr1	106628665	106630522	Bcl2	455	347	548	615	507	417	1165
chr1	106628665	106630522	Gm7160	455	347	548	615	507	417	1165
chr1	106628665	106630522	Kdsr	455	347	548	615	507	417	1165
chr1	106628665	106630522	Pign	455	347	548	615	507	417	1165
chr1	106628665	106630522	Relch	455	347	548	615	507	417	1165
chr1	106628665	106630522	Vps4b	455	347	548	615	507	417	1165
chr1	106702653	106703615	Bcl2	211	264	487	576	402	396	64
chr1	106702653	106703615	Kdsr	211	264	487	576	402	396	64
chr1	106702653	106703615	Rnf152	211	264	487	576	402	396	64
chr1	106702653	106703615	Vps4b	211	264	487	576	402	396	64
chr1	108181318	108182526	Vps4b	216	379	441	450	451	275	610
chr1	10990685	10991372	Prex2	90	84	158	153	131	96	52
chr1	109932584	109933434	Cdh7	71	101	197	224	207	76	468
chr1	109948506	109949006	Cdh7	45	58	96	99	84	44	18
chr1	109971646	109973055	Cdh7	662	499	645	591	408	131	83
chr1	109985413	109985913	Cdh7	261	190	163	142	132	128	147
chr1	11044844	11046765	Prex2	217	185	489	403	447	315	199
chr1	111857813	111858313	Dsel	43	50	126	113	88	92	108
chr1	118434571	118435646	2900060B14Rik	167	266	395	456	436	614	156
chr1	118434571	118435646	Clasp1	167	266	395	456	436	614	156
chr1	118434571	118435646	Nifk	167	266	395	456	436	614	156
chr1	118434571	118435646	Ralb	167	266	395	456	436	614	156
chr1	118434571	118435646	Tsn	167	266	395	456	436	614	156
chr1	118452183	118452928	2900060B14Rik	116	101	126	126	125	64	72
chr1	118457772	118458272	2900060B14Rik	118	120	179	169	126	140	248
chr1	118480433	118481210	2900060B14Rik	197	219	434	527	290	176	125
chr1	118480433	118481210	Nifk	197	219	434	527	290	176	125
chr1	118481264	118481764	2900060B14Rik	252	216	348	422	216	123	329
chr1	118481264	118481764	Clasp1	252	216	348	422	216	123	329
chr1	118481264	118481764	Nifk	252	216	348	422	216	123	329
chr1	118776540	118777040	Epb41l5	447	488	582	601	480	359	328
chr1	118776540	118777040	Inhbb	447	488	582	601	480	359	328
chr1	118776540	118777040	Ralb	447	488	582	601	480	359	328
chr1	118776540	118777040	Tsn	447	488	582	601	480	359	328
chr1	118824793	118826315	Gli2	174	223	434	574	419	373	431
chr1	118824793	118826315	Tmem177	174	223	434	574	419	373	431
chr1	118824793	118826315	Tmem185b	174	223	434	574	419	373	431
chr1	118910591	118911564	Gli2	1054	750	763	795	523	322	62
chr1	118910591	118911564	Inhbb	1054	750	763	795	523	322	62
chr1	118910591	118911564	Nifk	1054	750	763	795	523	322	62
chr1	118910591	118911564	Ralb	1054	750	763	795	523	322	62
chr1	118910591	118911564	Tmem177	1054	750	763	795	523	322	62
chr1	118910591	118911564	Tmem185b	1054	750	763	795	523	322	62
chr1	118981952	118983289	2900060B14Rik	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	3110009E18Rik	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Clasp1	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Dbi	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Epb41l5	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Gli2	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Inhbb	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Nifk	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Ptpn4	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Ralb	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Tmem177	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Tmem185b	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Tmem37	738	895	1378	1729	1129	614	48
chr1	118981952	118983289	Tsn	738	895	1378	1729	1129	614	48
chr1	119033009	119033730	Gli2	164	149	190	176	193	140	50
chr1	119033786	119034786	Epb41l5	537	396	661	698	607	772	182
chr1	119033786	119034786	Gli2	537	396	661	698	607	772	182
chr1	119033786	119034786	Nifk	537	396	661	698	607	772	182
chr1	119033786	119034786	Ralb	537	396	661	698	607	772	182
chr1	119033786	119034786	Tmem177	537	396	661	698	607	772	182
chr1	119033786	119034786	Tmem185b	537	396	661	698	607	772	182
chr1	119033786	119034786	Tmem37	537	396	661	698	607	772	182
chr1	119033786	119034786	Tsn	537	396	661	698	607	772	182
chr1	119047068	119048482	2900060B14Rik	780	618	665	723	598	397	45
chr1	119047068	119048482	Gli2	780	618	665	723	598	397	45
chr1	119047068	119048482	Inhbb	780	618	665	723	598	397	45
chr1	119047068	119048482	Nifk	780	618	665	723	598	397	45
chr1	119047068	119048482	Ptpn4	780	618	665	723	598	397	45
chr1	119047068	119048482	Ralb	780	618	665	723	598	397	45
chr1	119047068	119048482	Tmem177	780	618	665	723	598	397	45
chr1	119047068	119048482	Tmem185b	780	618	665	723	598	397	45
chr1	119047068	119048482	Tmem37	780	618	665	723	598	397	45
chr1	119254707	119256576	Clasp1	220	271	782	1146	937	508	278
chr1	119254707	119256576	Gli2	220	271	782	1146	937	508	278
chr1	119254707	119256576	Inhbb	220	271	782	1146	937	508	278
chr1	119254707	119256576	Ptpn4	220	271	782	1146	937	508	278
chr1	119254707	119256576	Ralb	220	271	782	1146	937	508	278
chr1	119254707	119256576	Tmem177	220	271	782	1146	937	508	278
chr1	119254707	119256576	Tmem185b	220	271	782	1146	937	508	278
chr1	119254707	119256576	Tmem37	220	271	782	1146	937	508	278
chr1	119328815	119330082	2900060B14Rik	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	3110009E18Rik	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Clasp1	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Dbi	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Epb41l5	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Gli2	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Inhbb	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Insig2	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Nifk	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Ptpn4	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Ralb	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Tmem177	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Tmem185b	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Tmem37	1005	949	1760	1936	1381	893	62
chr1	119328815	119330082	Tsn	1005	949	1760	1936	1381	893	62
chr1	119388579	119389079	Inhbb	640	611	800	850	571	424	164
chr1	119388579	119389079	Ralb	640	611	800	850	571	424	164
chr1	119388579	119389079	Tmem185b	640	611	800	850	571	424	164
chr1	119389205	119389705	Inhbb	225	181	238	233	195	119	37
chr1	119407598	119408098	Inhbb	103	82	103	133	94	84	25
chr1	119409527	119410400	Inhbb	107	126	164	123	140	114	44
chr1	119420025	119420525	Inhbb	98	95	196	232	193	237	54
chr1	119456632	119458624	Epb41l5	257	241	524	512	517	401	289
chr1	119456632	119458624	Inhbb	257	241	524	512	517	401	289
chr1	119456632	119458624	Ralb	257	241	524	512	517	401	289
chr1	119456632	119458624	Tmem185b	257	241	524	512	517	401	289
chr1	119471732	119472675	Ralb	81	111	178	173	177	292	66
chr1	119471732	119472675	Tmem185b	81	111	178	173	177	292	66
chr1	119533065	119534114	Ralb	105	152	276	250	231	264	48
chr1	119533065	119534114	Tmem185b	105	152	276	250	231	264	48
chr1	119641950	119642824	Epb41l5	139	138	145	164	117	72	33
chr1	119837846	119838346	Ptpn4	261	255	334	301	330	237	36
chr1	119883928	119884958	Ptpn4	48	33	167	218	232	371	158
chr1	119883928	119884958	Tmem177	48	33	167	218	232	371	158
chr1	119894975	119895475	Tmem177	131	110	145	142	162	130	64
chr1	119899650	119900491	Epb41l5	224	250	675	798	735	1035	61
chr1	119899650	119900491	Ptpn4	224	250	675	798	735	1035	61
chr1	119899650	119900491	Ralb	224	250	675	798	735	1035	61
chr1	119899650	119900491	Tmem177	224	250	675	798	735	1035	61
chr1	119899650	119900491	Tmem37	224	250	675	798	735	1035	61
chr1	119899650	119900491	Tsn	224	250	675	798	735	1035	61
chr1	119902426	119902926	Epb41l5	148	215	447	489	398	469	93
chr1	119902426	119902926	Ptpn4	148	215	447	489	398	469	93
chr1	119902426	119902926	Tmem177	148	215	447	489	398	469	93
chr1	119902426	119902926	Tmem37	148	215	447	489	398	469	93
chr1	120115508	120116216	3110009E18Rik	225	236	789	975	733	1327	34
chr1	120115508	120116216	Dbi	225	236	789	975	733	1327	34
chr1	120115508	120116216	Epb41l5	225	236	789	975	733	1327	34
chr1	120115508	120116216	Ptpn4	225	236	789	975	733	1327	34
chr1	120115508	120116216	Ralb	225	236	789	975	733	1327	34
chr1	120115508	120116216	Tmem177	225	236	789	975	733	1327	34
chr1	120115508	120116216	Tmem185b	225	236	789	975	733	1327	34
chr1	120115508	120116216	Tmem37	225	236	789	975	733	1327	34
chr1	120138660	120139632	3110009E18Rik	165	139	228	193	155	165	29
chr1	120138660	120139632	Dbi	165	139	228	193	155	165	29
chr1	120142474	120142974	Tmem37	35	45	140	171	151	173	103
chr1	120186160	120187888	3110009E18Rik	385	380	426	369	305	200	103
