chr	start	stop	tflist	genename
chr5	100090641	100092088	EGR1	5430416N02Rik
chr5	100090641	100092088	EGR1	Abraxas1
chr5	100090641	100092088	EGR1	Enoph1
chr5	100090641	100092088	EGR1	Hnrnpd
chr5	100090641	100092088	EGR1	Hnrnpdl
chr5	100090641	100092088	EGR1	Sec31a
chr5	100090641	100092088	EGR1	Tmem150c
chr12	100109935	100111080	ELK1,ELK3,FOXJ3,GABPA,IRF3,STAT1	Efcab11
chr12	100109935	100111080	ELK1,ELK3,FOXJ3,GABPA,IRF3,STAT1	Nrde2
chr12	100109935	100111080	ELK1,ELK3,FOXJ3,GABPA,IRF3,STAT1	Psmc1
chr12	100109935	100111080	ELK1,ELK3,FOXJ3,GABPA,IRF3,STAT1	Rps6ka5
chr12	100109935	100111080	ELK1,ELK3,FOXJ3,GABPA,IRF3,STAT1	Tdp1
chr12	100201821	100202321	ASCL1,BHA15,CTCF,CTCFL,MYOD1,MYOG	Calm1
chr12	100241842	100242765	ATF4,CEBPG,DDIT3,FOXI1,MAFK,NFYA,NFYB,NFYC,PBX1	Calm1
chr12	100241842	100242765	ATF4,CEBPG,DDIT3,FOXI1,MAFK,NFYA,NFYB,NFYC,PBX1	Gm10432
chr12	100241842	100242765	ATF4,CEBPG,DDIT3,FOXI1,MAFK,NFYA,NFYB,NFYC,PBX1	Ppp4r3a
chr12	100241842	100242765	ATF4,CEBPG,DDIT3,FOXI1,MAFK,NFYA,NFYB,NFYC,PBX1	Psmc1
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	4930432J09Rik
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	4933432I03Rik
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Bora
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Cln5
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Commd6
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	D130009I18Rik
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Dach1
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Dis3
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Ednrb
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Fbxl3
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Kctd12
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Klf12
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Klf5
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Mycbp2
chr14	100284343	100286176	EGR1,EGR2,EGR4,HIC1,KLF1,KLF15,KLF3,KLF4,KLF5,KLF6,MAZ,PLAG1,PURA,RREB1,SALL1,SP1,SP2,SP3,SP4,SP5,SPZ1,STAT6,WT1,ZBT17,ZN148,ZN281	Mzt1
