chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10014484	10014984	Cops5	49	12	41	27	25	11	23
chr1	10014484	10014984	Cspp1	49	12	41	27	25	11	23
chr1	10014484	10014984	Snhg6	49	12	41	27	25	11	23
chr1	10018669	10019169	Cops5	20	8	16	11	12	10	6
chr1	10018669	10019169	Cspp1	20	8	16	11	12	10	6
chr1	10039459	10039959	Arfgef1	287	60	121	61	107	24	26
chr1	10039459	10039959	Cops5	287	60	121	61	107	24	26
chr1	10039459	10039959	Cspp1	287	60	121	61	107	24	26
chr1	10039459	10039959	Mcmdc2	287	60	121	61	107	24	26
chr1	10039459	10039959	Snhg6	287	60	121	61	107	24	26
chr1	10057660	10058160	Cops5	18	7	15	16	17	4	18
chr1	10057660	10058160	Cspp1	18	7	15	16	17	4	18
chr1	10057660	10058160	Snhg6	18	7	15	16	17	4	18
chr1	10058290	10058790	Cops5	11	9	8	12	8	4	7
chr1	10058290	10058790	Cspp1	11	9	8	12	8	4	7
chr1	10141262	10142379	Arfgef1	48	23	38	38	43	15	42
chr1	10141262	10142379	Cops5	48	23	38	38	43	15	42
chr1	10141262	10142379	Cspp1	48	23	38	38	43	15	42
chr1	10141262	10142379	Mcmdc2	48	23	38	38	43	15	42
chr1	10141262	10142379	Sgk3	48	23	38	38	43	15	42
chr1	10141262	10142379	Snhg6	48	23	38	38	43	15	42
chr1	10228857	10229357	Arfgef1	15	3	20	12	24	10	12
chr1	10233448	10233948	Arfgef1	63	10	21	15	43	14	9
chr1	10247658	10248158	Arfgef1	12	10	10	10	15	3	6
chr1	104746569	104747236	Cdh20	82	32	57	38	30	17	8
chr1	104754491	104754991	Cdh20	19	4	12	14	16	5	3
chr1	104755686	104756403	Cdh20	34	10	18	13	18	5	6
chr1	104769223	104770365	Bcl2	194	12	41	43	44	27	114
chr1	104769223	104770365	Cdh20	194	12	41	43	44	27	114
chr1	104769223	104770365	Pign	194	12	41	43	44	27	114
chr1	104769223	104770365	Relch	194	12	41	43	44	27	114
chr1	104769223	104770365	Rnf152	194	12	41	43	44	27	114
chr1	104769223	104770365	Tnfrsf11a	194	12	41	43	44	27	114
chr1	104773185	104773685	Cdh20	4	3	8	5	18	4	4
chr1	104838142	104839398	Cdh20	98	29	55	49	78	39	47
chr1	104838142	104839398	Phlpp1	98	29	55	49	78	39	47
chr1	105067966	105068466	Rnf152	36	5	12	26	46	8	27
chr1	105093908	105094859	Cdh20	42	15	24	20	30	17	35
chr1	105093908	105094859	Kdsr	42	15	24	20	30	17	35
chr1	105093908	105094859	Serpinb8	42	15	24	20	30	17	35
chr1	105492647	105493147	Rnf152	24	3	9	6	14	11	3
chr1	105757132	105757632	Tnfrsf11a	20	11	23	18	18	8	6
chr1	105757640	105758140	Tnfrsf11a	13	9	29	8	19	4	3
chr1	105786894	105787559	Phlpp1	32	10	8	16	20	10	18
chr1	105786894	105787559	Tnfrsf11a	32	10	8	16	20	10	18
chr1	105795740	105796240	Tnfrsf11a	18	8	5	8	10	6	14
chr1	105801225	105801725	Tnfrsf11a	21	4	18	18	10	8	10
chr1	105908020	105908520	Rnf152	34	11	32	28	43	15	16
chr1	105908020	105908520	Zcchc2	34	11	32	28	43	15	16
chr1	105945035	105945535	Kdsr	21	9	17	11	17	5	13
chr1	105945035	105945535	Pign	21	9	17	11	17	5	13
chr1	105945035	105945535	Relch	21	9	17	11	17	5	13
chr1	105947042	105947542	Kdsr	39	12	31	19	41	13	17
chr1	105947042	105947542	Pign	39	12	31	19	41	13	17
chr1	105947042	105947542	Relch	39	12	31	19	41	13	17
chr1	105977291	105977977	Tnfrsf11a	34	8	13	10	23	4	16
chr1	105977291	105977977	Zcchc2	34	8	13	10	23	4	16
chr1	105993737	105994237	Bcl2	255	18	27	21	42	16	34
chr1	105993737	105994237	Kdsr	255	18	27	21	42	16	34
chr1	105993737	105994237	Phlpp1	255	18	27	21	42	16	34
chr1	105993737	105994237	Pign	255	18	27	21	42	16	34
chr1	105993737	105994237	Relch	255	18	27	21	42	16	34
chr1	105993737	105994237	Tnfrsf11a	255	18	27	21	42	16	34
chr1	105993737	105994237	Zcchc2	255	18	27	21	42	16	34
chr1	105999579	106000079	Zcchc2	12	8	14	13	12	8	3
chr1	106036902	106037740	Zcchc2	40	13	23	18	28	9	8
chr1	106039243	106039743	Zcchc2	31	18	24	12	16	7	9
chr1	106155111	106155611	Phlpp1	34	6	23	26	49	9	28
chr1	106155111	106155611	Rnf152	34	6	23	26	49	9	28
chr1	106173091	106173591	Kdsr	193	18	57	27	79	18	44
chr1	106173091	106173591	Phlpp1	193	18	57	27	79	18	44
chr1	106173091	106173591	Rnf152	193	18	57	27	79	18	44
chr1	106173091	106173591	Serpinb8	193	18	57	27	79	18	44
chr1	106173091	106173591	Tnfrsf11a	193	18	57	27	79	18	44
chr1	106173091	106173591	Vps4b	193	18	57	27	79	18	44
chr1	106173091	106173591	Zcchc2	193	18	57	27	79	18	44
chr1	106197852	106198352	Phlpp1	105	20	43	25	44	13	8
chr1	106199664	106200164	Phlpp1	151	57	119	80	108	19	17
chr1	106204176	106204676	Phlpp1	53	22	22	31	26	9	16
chr1	106240010	106240659	Vps4b	32	12	26	33	55	11	30
chr1	106240948	106241448	Vps4b	33	5	27	31	52	13	21
chr1	106352807	106353307	Bcl2	15	13	15	9	9	4	20
chr1	106352807	106353307	Kdsr	15	13	15	9	9	4	20
chr1	106352807	106353307	Pign	15	13	15	9	9	4	20
chr1	106352807	106353307	Relch	15	13	15	9	9	4	20
chr1	106618265	106618765	Bcl2	29	9	19	15	19	10	10
chr1	106628776	106630101	Bcl2	240	51	101	84	151	35	58
chr1	106628776	106630101	Cdh19	240	51	101	84	151	35	58
chr1	106628776	106630101	Kdsr	240	51	101	84	151	35	58
chr1	106628776	106630101	Pign	240	51	101	84	151	35	58
chr1	106628776	106630101	Relch	240	51	101	84	151	35	58
chr1	106628776	106630101	Serpinb8	240	51	101	84	151	35	58
chr1	106628776	106630101	Vps4b	240	51	101	84	151	35	58
chr1	106628776	106630101	Zcchc2	240	51	101	84	151	35	58
chr1	106687703	106688203	Bcl2	25	7	20	16	37	6	24
chr1	106687703	106688203	Kdsr	25	7	20	16	37	6	24
chr1	106687703	106688203	Pign	25	7	20	16	37	6	24
chr1	106687703	106688203	Relch	25	7	20	16	37	6	24
chr1	106687703	106688203	Vps4b	25	7	20	16	37	6	24
chr1	106700804	106701304	Bcl2	31	14	20	11	20	6	7
