chr	start	stop	TargetGene	E11	E12	E13	E14	E16	P0	Adult
chr1	10014484	10014984	Cops5	149	145	144	132	103	215	35
chr1	10014484	10014984	Cspp1	149	145	144	132	103	215	35
chr1	10014484	10014984	Snhg6	149	145	144	132	103	215	35
chr1	10018669	10019169	Cops5	13	20	25	11	18	18	15
chr1	10018669	10019169	Cspp1	13	20	25	11	18	18	15
chr1	10039459	10039959	Arfgef1	1038	882	1199	1228	1029	1487	601
chr1	10039459	10039959	Cops5	1038	882	1199	1228	1029	1487	601
chr1	10039459	10039959	Cspp1	1038	882	1199	1228	1029	1487	601
chr1	10039459	10039959	Mcmdc2	1038	882	1199	1228	1029	1487	601
chr1	10039459	10039959	Snhg6	1038	882	1199	1228	1029	1487	601
chr1	10057660	10058160	Cops5	14	18	16	11	19	12	27
chr1	10057660	10058160	Cspp1	14	18	16	11	19	12	27
chr1	10057660	10058160	Snhg6	14	18	16	11	19	12	27
chr1	10058290	10058790	Cops5	22	12	16	8	12	18	31
chr1	10058290	10058790	Cspp1	22	12	16	8	12	18	31
chr1	10141262	10142379	Arfgef1	93	75	109	79	84	88	826
chr1	10141262	10142379	Cops5	93	75	109	79	84	88	826
chr1	10141262	10142379	Cspp1	93	75	109	79	84	88	826
chr1	10141262	10142379	Mcmdc2	93	75	109	79	84	88	826
chr1	10141262	10142379	Sgk3	93	75	109	79	84	88	826
chr1	10141262	10142379	Snhg6	93	75	109	79	84	88	826
chr1	10228857	10229357	Arfgef1	70	58	79	76	51	153	447
chr1	10233448	10233948	Arfgef1	139	158	186	152	158	168	137
chr1	10247658	10248158	Arfgef1	19	18	29	8	19	20	464
chr1	104746569	104747236	Cdh20	169	188	158	143	125	146	44
chr1	104754491	104754991	Cdh20	33	64	44	31	35	151	425
chr1	104755686	104756403	Cdh20	71	81	46	49	63	44	241
chr1	104769223	104770365	Bcl2	365	285	378	338	376	395	590
chr1	104769223	104770365	Cdh20	365	285	378	338	376	395	590
chr1	104769223	104770365	Pign	365	285	378	338	376	395	590
chr1	104769223	104770365	Relch	365	285	378	338	376	395	590
chr1	104769223	104770365	Rnf152	365	285	378	338	376	395	590
chr1	104769223	104770365	Tnfrsf11a	365	285	378	338	376	395	590
chr1	104773185	104773685	Cdh20	27	16	16	7	13	24	517
chr1	104838142	104839398	Cdh20	263	243	323	288	233	406	164
chr1	104838142	104839398	Phlpp1	263	243	323	288	233	406	164
chr1	105067966	105068466	Rnf152	28	15	72	57	110	105	774
chr1	105093908	105094859	Cdh20	70	58	71	45	60	26	954
chr1	105093908	105094859	Kdsr	70	58	71	45	60	26	954
chr1	105093908	105094859	Serpinb8	70	58	71	45	60	26	954
chr1	105492647	105493147	Rnf152	26	19	28	27	30	116	149
chr1	105757132	105757632	Tnfrsf11a	45	52	59	38	45	52	46
chr1	105757640	105758140	Tnfrsf11a	22	20	46	24	29	54	42
